Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

11:21:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:21:34 AM     all      0.11      0.00     15.60      0.00      0.00     84.29
11:21:35 AM     all      0.21      0.00     14.85      0.00      0.00     84.94
11:21:36 AM     all      0.11      0.00     15.87      0.00      0.00     84.02
11:21:37 AM     all      0.32      0.00     15.91      0.00      0.00     83.77
11:21:38 AM     all      0.21      0.00     16.28      0.00      0.00     83.51
11:21:39 AM     all      0.21      0.00     15.73      0.00      0.00     84.05
11:21:40 AM     all      0.32      0.00     15.36      0.11      0.00     84.22
11:21:41 AM     all      0.21      0.00     16.56      0.00      0.00     83.23
11:21:42 AM     all      0.00      0.00     16.91      0.00      0.00     83.09
11:21:43 AM     all      0.11      0.00     15.86      0.00      0.00     84.04
11:21:44 AM     all      0.21      0.00     17.46      0.00      0.00     82.33
11:21:45 AM     all      0.21      0.00     16.98      0.10      0.00     82.71
11:21:46 AM     all      0.21      0.00     16.42      0.00      0.00     83.37
11:21:47 AM     all      0.10      0.00     16.46      0.00      0.00     83.44
11:21:48 AM     all      0.31      0.00     19.71      0.00      0.00     79.98
11:21:49 AM     all      0.32      0.00     15.64      0.00      0.00     84.04
11:21:50 AM     all      0.21      0.00     15.98      0.11      0.00     83.70
11:21:51 AM     all      0.10      0.00     17.41      0.00      0.00     82.49
11:21:52 AM     all      0.21      0.00     16.53      0.00      0.00     83.26
11:21:53 AM     all      0.21      0.00     15.67      0.00      0.00     84.12
11:21:54 AM     all      0.10      0.00     18.34      0.00      0.00     81.55
11:21:55 AM     all      0.10      0.00     21.94      0.00      0.00     77.95
11:21:56 AM     all      0.21      0.00     16.09      0.11      0.00     83.60
11:21:57 AM     all      0.32      0.00     15.18      0.00      0.00     84.50
11:21:58 AM     all      0.11      0.00     15.30      0.00      0.00     84.59
11:21:59 AM     all      0.42      0.00     15.77      0.00      0.00     83.81
11:22:00 AM     all      0.21      0.00     16.09      0.00      0.00     83.70
Average:        all      0.20      0.00     16.52      0.02      0.00     83.26
