Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

07:56:20 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:56:21 PM     all      0.00      0.00     17.90      0.00      0.00     82.10
07:56:22 PM     all      0.00      0.00     18.29      0.00      0.00     81.71
07:56:23 PM     all      0.10      0.00     17.11      0.00      0.00     82.79
07:56:24 PM     all      0.00      0.00     15.38      0.19      0.00     84.42
07:56:25 PM     all      0.00      0.00     13.61      0.00      0.00     86.39
07:56:26 PM     all      0.00      0.00     13.41      0.00      0.00     86.59
07:56:27 PM     all      0.00      0.00     15.41      0.00      0.00     84.59
07:56:28 PM     all      0.10      0.00     14.89      0.00      0.00     85.01
07:56:29 PM     all      0.00      0.00     15.99      0.10      0.00     83.91
07:56:30 PM     all      0.10      0.00     15.69      0.00      0.00     84.21
07:56:31 PM     all      0.00      0.00     12.21      0.00      0.00     87.79
07:56:32 PM     all      0.00      0.00     13.90      0.00      0.00     86.10
07:56:33 PM     all      0.00      0.00     11.82      0.00      0.00     88.18
07:56:34 PM     all      0.09      0.00     10.29      0.09      0.00     89.52
07:56:35 PM     all      0.00      0.00      9.83      0.00      0.00     90.17
07:56:36 PM     all      0.00      0.00     11.28      0.00      0.00     88.72
07:56:37 PM     all      0.10      0.00     12.42      0.00      0.00     87.47
07:56:38 PM     all      0.00      0.00     12.96      0.00      0.00     87.04
07:56:39 PM     all      0.00      0.00     11.50      0.10      0.00     88.40
07:56:40 PM     all      0.00      0.00      9.93      0.00      0.00     90.07
07:56:41 PM     all      0.00      0.00      9.66      0.00      0.00     90.34
07:56:42 PM     all      0.00      0.00     10.92      0.00      0.00     89.08
07:56:43 PM     all      0.00      0.00     13.72      0.00      0.00     86.28
07:56:44 PM     all      0.00      0.00     21.02      0.10      0.00     78.88
07:56:45 PM     all      0.10      0.00     24.05      0.00      0.00     75.85
07:56:46 PM     all      0.00      0.00     20.41      0.00      0.00     79.59
07:56:47 PM     all      0.11      0.00     13.16      0.00      0.00     86.73
Average:        all      0.03      0.00     14.26      0.02      0.00     85.69
