Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

11:59:46 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:59:47 AM     all      0.00      0.00     17.22      0.00      0.00     82.78
11:59:48 AM     all      0.00      0.00     16.08      0.00      0.00     83.92
11:59:49 AM     all      0.00      0.00     17.07      0.10      0.00     82.84
11:59:50 AM     all      0.10      0.00     16.67      0.00      0.00     83.24
11:59:51 AM     all      0.00      0.00     14.89      1.37      0.00     83.74
11:59:52 AM     all      0.00      0.00     15.03      1.96      0.00     83.01
11:59:53 AM     all      0.10      0.00     15.31      0.00      0.00     84.59
11:59:54 AM     all      0.00      0.00     15.69      0.10      0.00     84.21
11:59:55 AM     all      0.10      0.00     15.76      0.00      0.00     84.14
11:59:56 AM     all      0.00      0.00     14.74      0.00      0.00     85.26
11:59:57 AM     all      0.00      0.00     14.88      0.47      0.00     84.64
11:59:58 AM     all      0.10      0.00     12.79      0.00      0.00     87.11
11:59:59 AM     all      0.00      0.00     10.69      2.46      0.00     86.85
12:00:00 PM     all      0.00      0.00     10.08      0.00      0.00     89.92
12:00:01 PM     all      0.00      0.00     11.11      0.00      0.00     88.89
12:00:02 PM     all      0.00      0.00     12.81      0.00      0.00     87.19
12:00:03 PM     all      0.10      0.00     13.96      0.00      0.00     85.94
12:00:04 PM     all      0.00      0.00     13.70      0.10      0.00     86.20
12:00:05 PM     all      0.10      0.00     12.66      0.00      0.00     87.24
12:00:06 PM     all      0.00      0.00      9.81      0.00      0.00     90.19
12:00:07 PM     all      0.00      0.00      9.93      0.00      0.00     90.07
12:00:08 PM     all      0.00      0.00     11.40      0.00      0.00     88.60
12:00:09 PM     all      0.00      0.00     12.13      0.20      0.00     87.67
12:00:10 PM     all      0.00      0.00     11.92      0.00      0.00     88.08
12:00:11 PM     all      0.10      0.00     12.85      0.00      0.00     87.06
12:00:12 PM     all      0.00      0.00     17.27      0.00      0.00     82.73
12:00:13 PM     all      0.10      0.00     20.63      0.00      0.00     79.27
Average:        all      0.03      0.00     13.94      0.25      0.00     85.78
