Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

07:17:41 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:17:42 PM     all      0.17      0.00     46.02      0.00      0.00     53.81
07:17:43 PM     all      0.00      0.00     46.52      0.00      0.00     53.48
07:17:44 PM     all      0.17      0.00     47.53      0.09      0.00     52.21
07:17:45 PM     all      0.17      0.00     47.34      0.00      0.00     52.49
07:17:46 PM     all      0.17      0.00     47.55      0.00      0.00     52.27
07:17:47 PM     all      0.17      0.00     47.14      0.00      0.00     52.69
07:17:48 PM     all      0.17      0.00     48.09      0.00      0.00     51.74
07:17:49 PM     all      0.17      0.00     47.96      0.00      0.00     51.87
07:17:50 PM     all      0.43      0.00     48.47      0.09      0.00     51.02
07:17:51 PM     all      1.45      0.00     48.59      0.00      0.00     49.96
07:17:52 PM     all      0.00      0.00     47.61      0.00      0.00     52.39
07:17:53 PM     all      0.08      0.00     47.75      0.00      0.00     52.17
07:17:54 PM     all      0.25      0.00     47.46      0.00      0.00     52.29
07:17:55 PM     all      0.09      0.00     47.70      0.09      0.00     52.13
07:17:56 PM     all      0.34      0.00     47.48      0.00      0.00     52.18
07:17:57 PM     all      0.09      0.00     47.44      0.00      0.00     52.48
07:17:58 PM     all      0.17      0.00     46.88      0.00      0.00     52.95
07:17:59 PM     all      0.25      0.00     47.86      0.00      0.00     51.89
07:18:00 PM     all      0.26      0.00     46.87      0.17      0.00     52.70
07:18:01 PM     all      0.26      0.00     47.26      0.00      0.00     52.48
07:18:02 PM     all      0.17      0.00     47.45      0.00      0.00     52.38
07:18:03 PM     all      0.09      0.00     47.22      0.00      0.00     52.69
07:18:04 PM     all      0.25      0.00     48.19      0.00      0.00     51.55
07:18:05 PM     all      0.25      0.00     47.63      0.00      0.00     52.12
07:18:06 PM     all      0.17      0.00     47.14      0.00      0.00     52.69
07:18:07 PM     all      0.17      0.00     46.96      0.00      0.00     52.87
07:18:08 PM     all      0.17      0.00     47.85      0.00      0.00     51.98
Average:        all      0.23      0.00     47.48      0.02      0.00     52.27
