Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

11:24:54 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:24:55 AM     all      0.26      0.00     46.01      0.00      0.00     53.73
11:24:56 AM     all      0.17      0.00     47.69      0.00      0.00     52.14
11:24:57 AM     all      0.17      0.00     47.81      0.00      0.00     52.02
11:24:58 AM     all      0.26      0.00     47.89      0.00      0.00     51.85
11:24:59 AM     all      0.00      0.00     48.45      0.00      0.00     51.55
11:25:00 AM     all      0.34      0.00     49.20      0.00      0.00     50.47
11:25:01 AM     all      0.17      0.00     48.67      0.09      0.00     51.07
11:25:02 AM     all      0.26      0.00     48.58      0.00      0.00     51.16
11:25:03 AM     all      0.09      0.00     48.54      0.00      0.00     51.37
11:25:04 AM     all      0.17      0.00     48.82      0.00      0.00     51.01
11:25:05 AM     all      0.08      0.00     47.98      0.00      0.00     51.94
11:25:06 AM     all      0.24      0.00     49.04      0.00      0.00     50.72
11:25:07 AM     all      0.16      0.00     47.01      0.00      0.00     52.83
11:25:08 AM     all      0.08      0.00     43.72      0.00      0.00     56.19
11:25:09 AM     all      0.17      0.00     40.67      0.00      0.00     59.16
11:25:10 AM     all      0.25      0.00     40.92      0.00      0.00     58.83
11:25:11 AM     all      0.18      0.00     39.03      0.00      0.00     60.79
11:25:12 AM     all      0.17      0.00     43.06      0.69      0.00     56.08
11:25:13 AM     all      0.26      0.00     45.52      0.00      0.00     54.22
11:25:14 AM     all      0.17      0.00     48.10      0.00      0.00     51.74
11:25:15 AM     all      0.17      0.00     47.58      0.00      0.00     52.25
11:25:16 AM     all      0.25      0.00     47.41      0.00      0.00     52.34
11:25:17 AM     all      0.17      0.00     48.31      0.08      0.00     51.44
11:25:18 AM     all      0.09      0.00     48.72      0.00      0.00     51.19
11:25:19 AM     all      0.17      0.00     48.55      0.00      0.00     51.28
11:25:20 AM     all      0.34      0.00     48.64      0.00      0.00     51.02
11:25:21 AM     all      0.25      0.00     49.50      0.00      0.00     50.25
Average:        all      0.19      0.00     46.88      0.03      0.00     52.90
