Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

10:38:57 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:38:58 AM     all      0.17      0.00     20.30      0.08      0.00     79.44
10:38:59 AM     all      0.00      0.00     17.54      0.00      0.00     82.46
10:39:00 AM     all      0.17      0.00     17.04      0.00      0.00     82.79
10:39:01 AM     all      0.00      0.00     16.15      0.00      0.00     83.85
10:39:02 AM     all      0.17      0.00     16.44      0.00      0.00     83.39
10:39:03 AM     all      0.00      0.00     16.61      0.00      0.00     83.39
10:39:04 AM     all      0.08      0.00     15.95      0.17      0.00     83.80
10:39:05 AM     all      0.08      0.00     16.18      0.00      0.00     83.74
10:39:06 AM     all      0.08      0.00     15.68      0.00      0.00     84.24
10:39:07 AM     all      0.25      0.00     16.43      0.00      0.00     83.32
10:39:08 AM     all      0.00      0.00     16.29      0.00      0.00     83.71
10:39:09 AM     all      0.00      0.00     15.23      0.00      0.00     84.77
10:39:10 AM     all      0.25      0.00     16.18      0.17      0.00     83.40
10:39:11 AM     all      0.26      0.00     14.69      0.00      0.00     85.06
10:39:12 AM     all      0.17      0.00     16.22      0.00      0.00     83.61
10:39:13 AM     all      0.08      0.00     16.83      0.00      0.00     83.08
10:39:14 AM     all      0.08      0.00     15.92      0.00      0.00     83.99
10:39:15 AM     all      0.00      0.00     16.30      0.17      0.00     83.53
10:39:16 AM     all      0.17      0.00     16.49      0.00      0.00     83.35
10:39:17 AM     all      0.17      0.00     15.37      0.00      0.00     84.47
10:39:18 AM     all      0.17      0.00     16.35      0.00      0.00     83.49
10:39:19 AM     all      0.17      0.00     15.51      0.00      0.00     84.32
10:39:20 AM     all      0.17      0.00     16.68      0.08      0.00     83.07
10:39:21 AM     all      0.00      0.00     15.40      0.00      0.00     84.60
10:39:22 AM     all      0.08      0.00     15.78      0.00      0.00     84.14
10:39:23 AM     all      0.17      0.00     16.20      0.00      0.00     83.63
10:39:24 AM     all      0.25      0.00     16.09      0.00      0.00     83.65
Average:        all      0.12      0.00     16.29      0.02      0.00     83.56
