Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

12:09:21 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:09:22 PM     all      0.31      0.00     18.11      0.00      0.00     81.58
12:09:23 PM     all      0.21      0.00     15.95      0.10      0.00     83.74
12:09:24 PM     all      0.10      0.00     16.32      0.00      0.00     83.58
12:09:25 PM     all      0.21      0.00     18.91      0.00      0.00     80.88
12:09:26 PM     all      0.31      0.00     17.42      0.00      0.00     82.27
12:09:27 PM     all      0.10      0.00     15.05      0.00      0.00     84.85
12:09:28 PM     all      0.21      0.00     15.50      0.00      0.00     84.29
12:09:29 PM     all      0.31      0.00     15.21      0.10      0.00     84.38
12:09:30 PM     all      0.21      0.00     13.13      0.00      0.00     86.66
12:09:31 PM     all      0.00      0.00     12.90      0.00      0.00     87.10
12:09:32 PM     all      0.00      0.00     13.25      0.00      0.00     86.75
12:09:33 PM     all      0.11      0.00     13.51      0.00      0.00     86.38
12:09:34 PM     all      0.11      0.00     13.19      0.21      0.00     86.49
12:09:35 PM     all      0.32      0.00     14.59      0.00      0.00     85.10
12:09:36 PM     all      0.00      0.00     15.71      0.00      0.00     84.29
12:09:37 PM     all      0.21      0.00     14.16      0.00      0.00     85.62
12:09:38 PM     all      0.10      0.00     14.96      0.00      0.00     84.94
12:09:39 PM     all      0.21      0.00     14.59      0.00      0.00     85.20
12:09:40 PM     all      0.21      0.00     14.96      0.00      0.00     84.83
12:09:41 PM     all      0.21      0.00     15.49      0.00      0.00     84.30
12:09:42 PM     all      0.32      0.00     14.51      0.00      0.00     85.17
12:09:43 PM     all      0.42      0.00     15.33      0.00      0.00     84.25
12:09:44 PM     all      0.21      0.00     14.54      0.00      0.00     85.25
12:09:45 PM     all      0.21      0.00     15.40      0.10      0.00     84.29
12:09:46 PM     all      0.21      0.00     15.84      0.00      0.00     83.95
12:09:47 PM     all      0.11      0.00     13.66      0.00      0.00     86.23
12:09:48 PM     all      0.11      0.00     13.98      0.00      0.00     85.91
Average:        all      0.19      0.00     15.06      0.02      0.00     84.74
