Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

11:02:27 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:02:28 AM     all      0.09      0.00      4.24      0.00      0.00     95.68
11:02:29 AM     all      0.00      0.00      4.58      0.00      0.00     95.42
11:02:30 AM     all      0.09      0.00      4.33      0.18      0.00     95.40
11:02:31 AM     all      0.09      0.00      4.07      0.00      0.00     95.84
11:02:32 AM     all      0.09      0.00      4.07      0.00      0.00     95.84
11:02:33 AM     all      0.00      0.00      5.00      0.00      0.00     95.00
11:02:34 AM     all      0.09      0.00      3.64      0.00      0.00     96.27
11:02:35 AM     all      0.09      0.00      4.32      0.00      0.00     95.59
11:02:36 AM     all      0.09      0.00      5.24      0.09      0.00     94.59
11:02:37 AM     all      0.18      0.00      4.24      0.00      0.00     95.58
11:02:38 AM     all      0.00      0.00      4.27      0.00      0.00     95.73
11:02:39 AM     all      0.00      0.00      4.35      0.00      0.00     95.65
11:02:40 AM     all      0.18      0.00      4.19      0.00      0.00     95.64
11:02:41 AM     all      0.09      0.00      4.89      0.09      0.00     94.93
11:02:42 AM     all      0.09      0.00      4.78      0.00      0.00     95.13
11:02:43 AM     all      0.09      0.00      4.00      0.00      0.00     95.91
11:02:44 AM     all      0.09      0.00      4.61      0.00      0.00     95.30
11:02:45 AM     all      0.00      0.00      4.90      0.00      0.00     95.10
11:02:46 AM     all      0.00      0.00      4.98      0.09      0.00     94.93
11:02:47 AM     all      0.09      0.00      4.51      0.00      0.00     95.40
11:02:48 AM     all      0.00      0.00      4.54      0.00      0.00     95.46
11:02:49 AM     all      0.18      0.00      5.04      0.00      0.00     94.79
11:02:50 AM     all      0.09      0.00      4.61      0.00      0.00     95.30
11:02:51 AM     all      0.18      0.00      4.86      0.18      0.00     94.78
11:02:52 AM     all      0.09      0.00      4.45      0.00      0.00     95.46
11:02:53 AM     all      0.00      0.00      4.80      0.00      0.00     95.20
11:02:54 AM     all      0.09      0.00      4.96      0.00      0.00     94.95
Average:        all      0.08      0.00      4.54      0.02      0.00     95.37
