Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

10:59:37 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:59:38 AM     all      0.17      0.00     18.10      0.25      0.00     81.48
10:59:39 AM     all      0.08      0.00     18.93      0.00      0.00     80.98
10:59:40 AM     all      0.17      0.00     20.02      0.00      0.00     79.81
10:59:41 AM     all      0.17      0.00     21.40      0.00      0.00     78.43
10:59:42 AM     all      0.17      0.00     18.52      0.17      0.00     81.14
10:59:43 AM     all      0.08      0.00     15.94      0.08      0.00     83.90
10:59:44 AM     all      0.09      0.00     14.87      0.00      0.00     85.04
10:59:45 AM     all      0.09      0.00     15.03      0.00      0.00     84.88
10:59:46 AM     all      0.08      0.00     16.51      0.00      0.00     83.40
10:59:47 AM     all      0.17      0.00     15.85      0.00      0.00     83.98
10:59:48 AM     all      0.09      0.00     15.06      0.09      0.00     84.77
10:59:49 AM     all      0.08      0.00     16.01      0.00      0.00     83.91
10:59:50 AM     all      1.27      0.00     15.91      0.00      0.00     82.83
10:59:51 AM     all      0.09      0.00     15.06      0.00      0.00     84.85
10:59:52 AM     all      0.00      0.00     15.55      0.00      0.00     84.45
10:59:53 AM     all      0.08      0.00     16.64      0.17      0.00     83.11
10:59:54 AM     all      0.09      0.00     14.40      0.00      0.00     85.52
10:59:55 AM     all      0.08      0.00     15.85      0.00      0.00     84.06
10:59:56 AM     all      0.08      0.00     15.21      0.00      0.00     84.71
10:59:57 AM     all      0.17      0.00     15.20      0.00      0.00     84.63
10:59:58 AM     all      0.08      0.00     15.51      0.08      0.00     84.32
10:59:59 AM     all      0.08      0.00     16.15      0.00      0.00     83.77
11:00:00 AM     all      0.17      0.00      1.43      0.00      0.00     98.40
11:00:01 AM     all      0.00      0.00     11.17      0.00      0.00     88.83
11:00:02 AM     all      0.09      0.00     23.46      0.00      0.00     76.45
11:00:03 AM     all      0.17      0.00     20.30      0.08      0.00     79.44
11:00:04 AM     all      0.09      0.00     15.73      0.00      0.00     84.18
Average:        all      0.15      0.00     16.07      0.03      0.00     83.75
