Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

08:05:26 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:05:27 PM     all      0.43      0.00     19.57      0.00      0.00     80.00
08:05:28 PM     all      0.00      0.00     16.61      0.10      0.00     83.28
08:05:29 PM     all      0.00      0.00     18.04      0.00      0.00     81.96
08:05:30 PM     all      0.10      0.00     18.71      0.00      0.00     81.19
08:05:31 PM     all      0.21      0.00     17.32      0.00      0.00     82.47
08:05:32 PM     all      0.10      0.00     18.11      0.00      0.00     81.79
08:05:33 PM     all      0.10      0.00     16.81      0.10      0.00     82.99
08:05:34 PM     all      0.10      0.00     16.44      0.00      0.00     83.46
08:05:35 PM     all      0.00      0.00     16.47      0.00      0.00     83.53
08:05:36 PM     all      0.00      0.00     17.41      0.00      0.00     82.59
08:05:37 PM     all      0.00      0.00     18.07      0.00      0.00     81.93
08:05:38 PM     all      0.10      0.00     22.85      0.20      0.00     76.84
08:05:39 PM     all      0.00      0.00     15.25      0.00      0.00     84.75
08:05:40 PM     all      0.10      0.00     17.19      0.00      0.00     82.71
08:05:41 PM     all      0.00      0.00     18.69      0.00      0.00     81.31
08:05:42 PM     all      0.00      0.00     19.31      0.00      0.00     80.69
08:05:43 PM     all      0.00      0.00     20.25      0.10      0.00     79.66
08:05:44 PM     all      0.00      0.00     30.10      0.00      0.00     69.90
08:05:45 PM     all      0.00      0.00     29.26      0.00      0.00     70.74
08:05:46 PM     all      0.00      0.00     24.66      0.00      0.00     75.34
08:05:47 PM     all      0.22      0.00     19.06      0.00      0.00     80.72
08:05:48 PM     all      0.00      0.00     14.34      0.00      0.00     85.66
08:05:49 PM     all      0.22      0.00     15.70      0.11      0.00     83.97
08:05:50 PM     all      0.22      0.00     19.39      0.00      0.00     80.39
08:05:51 PM     all      0.43      0.00     21.73      0.00      0.00     77.85
08:05:52 PM     all      0.42      0.00     21.81      0.00      0.00     77.77
08:05:53 PM     all      0.31      0.00     22.85      0.00      0.00     76.84
Average:        all      0.11      0.00     19.55      0.02      0.00     80.31
