Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

09:38:06 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:38:07 PM     all      0.27      0.00     41.26      0.00      0.00     58.47
09:38:08 PM     all      0.27      0.00     36.34      0.00      0.00     63.39
09:38:09 PM     all      0.18      0.00     34.28      0.00      0.00     65.54
09:38:10 PM     all      0.28      0.00     32.66      0.00      0.00     67.07
09:38:11 PM     all      0.09      0.00     37.21      0.00      0.00     62.70
09:38:12 PM     all      0.00      0.00     36.27      0.00      0.00     63.73
09:38:13 PM     all      0.18      0.00     38.00      0.00      0.00     61.82
09:38:14 PM     all      0.18      0.00     39.12      0.09      0.00     60.62
09:38:15 PM     all      0.09      0.00     38.90      0.00      0.00     61.01
09:38:16 PM     all      0.09      0.00     37.82      0.00      0.00     62.09
09:38:17 PM     all      0.00      0.00     36.65      0.00      0.00     63.35
09:38:18 PM     all      0.18      0.00     37.17      0.00      0.00     62.65
09:38:19 PM     all      0.09      0.00     40.29      0.00      0.00     59.62
09:38:20 PM     all      0.17      0.00     42.79      0.00      0.00     57.03
09:38:21 PM     all      0.09      0.00     43.31      0.00      0.00     56.61
09:38:22 PM     all      0.18      0.00     43.95      0.00      0.00     55.88
09:38:23 PM     all      0.17      0.00     45.49      0.00      0.00     54.33
09:38:24 PM     all      0.17      0.00     45.60      0.09      0.00     54.15
09:38:25 PM     all      0.09      0.00     45.80      0.00      0.00     54.12
09:38:26 PM     all      0.09      0.00     45.63      0.00      0.00     54.29
09:38:27 PM     all      0.09      0.00     43.30      0.00      0.00     56.62
09:38:28 PM     all      0.25      0.00     43.46      0.00      0.00     56.28
09:38:29 PM     all      0.00      0.00     42.68      0.00      0.00     57.32
09:38:30 PM     all      0.34      0.00     42.99      0.00      0.00     56.66
09:38:31 PM     all      0.09      0.00     43.24      0.00      0.00     56.68
09:38:32 PM     all      0.26      0.00     43.08      0.00      0.00     56.66
09:38:33 PM     all      0.26      0.00     43.11      0.00      0.00     56.63
Average:        all      0.15      0.00     40.84      0.01      0.00     59.00
