Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

06:54:19 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:54:20 PM     all      0.21      0.00     14.08      0.00      0.00     85.71
06:54:21 PM     all      0.00      0.00     16.50      0.00      0.00     83.50
06:54:22 PM     all      0.10      0.00     22.50      0.10      0.00     77.30
06:54:23 PM     all      0.00      0.00     14.99      0.00      0.00     85.01
06:54:24 PM     all      0.11      0.00     13.29      0.00      0.00     86.60
06:54:25 PM     all      0.31      0.00     13.33      0.00      0.00     86.36
06:54:26 PM     all      0.10      0.00     14.00      0.00      0.00     85.89
06:54:27 PM     all      0.21      0.00     14.18      0.10      0.00     85.51
06:54:28 PM     all      0.10      0.00     13.93      0.00      0.00     85.97
06:54:29 PM     all      0.21      0.00     14.21      0.00      0.00     85.58
06:54:30 PM     all      0.21      0.00     13.56      0.00      0.00     86.23
06:54:31 PM     all      0.21      0.00     14.21      0.00      0.00     85.58
06:54:32 PM     all      0.21      0.00     13.56      0.11      0.00     86.12
06:54:33 PM     all      0.21      0.00     14.05      0.00      0.00     85.74
06:54:34 PM     all      0.21      0.00     14.12      0.00      0.00     85.67
06:54:35 PM     all      0.31      0.00     13.99      0.00      0.00     85.70
06:54:36 PM     all      0.11      0.00     13.97      0.00      0.00     85.92
06:54:37 PM     all      0.00      0.00     14.66      0.10      0.00     85.23
06:54:38 PM     all      0.00      0.00     22.24      0.00      0.00     77.76
06:54:39 PM     all      0.00      0.00     14.58      0.00      0.00     85.42
06:54:40 PM     all      0.00      0.00     14.70      0.00      0.00     85.30
06:54:41 PM     all      0.10      0.00     14.87      0.00      0.00     85.03
06:54:42 PM     all      0.00      0.00     14.70      0.10      0.00     85.20
06:54:43 PM     all      0.00      0.00     15.94      0.00      0.00     84.06
06:54:44 PM     all      0.00      0.00     16.60      0.00      0.00     83.40
06:54:45 PM     all      0.10      0.00     18.04      0.00      0.00     81.86
06:54:46 PM     all      0.00      0.00     18.60      0.00      0.00     81.40
Average:        all      0.11      0.00     15.35      0.02      0.00     84.52
