Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

11:23:20 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:23:21 AM     all      0.17      0.00     45.30      0.26      0.00     54.26
11:23:22 AM     all      0.26      0.00     48.04      0.00      0.00     51.70
11:23:23 AM     all      0.09      0.00     48.50      0.00      0.00     51.42
11:23:24 AM     all      0.17      0.00     48.81      0.00      0.00     51.02
11:23:25 AM     all      0.09      0.00     48.60      0.00      0.00     51.32
11:23:26 AM     all      0.17      0.00     48.24      0.00      0.00     51.59
11:23:27 AM     all      0.17      0.00     48.37      0.00      0.00     51.46
11:23:28 AM     all      0.08      0.00     48.77      0.00      0.00     51.15
11:23:29 AM     all      0.00      0.00     49.11      0.00      0.00     50.89
11:23:30 AM     all      0.17      0.00     49.11      0.00      0.00     50.72
11:23:31 AM     all      0.08      0.00     49.50      0.00      0.00     50.42
11:23:32 AM     all      0.17      0.00     48.89      0.00      0.00     50.94
11:23:33 AM     all      0.09      0.00     48.80      0.00      0.00     51.11
11:23:34 AM     all      0.17      0.00     48.62      0.00      0.00     51.20
11:23:35 AM     all      0.34      0.00     48.81      0.00      0.00     50.85
11:23:36 AM     all      0.25      0.00     49.19      0.08      0.00     50.47
11:23:37 AM     all      0.25      0.00     49.33      0.00      0.00     50.42
11:23:38 AM     all      0.00      0.00     48.67      0.00      0.00     51.33
11:23:39 AM     all      0.17      0.00     49.03      0.00      0.00     50.80
11:23:40 AM     all      0.25      0.00     49.02      0.00      0.00     50.72
11:23:41 AM     all      0.26      0.00     49.11      0.00      0.00     50.64
11:23:42 AM     all      0.08      0.00     49.53      0.00      0.00     50.38
11:23:43 AM     all      0.09      0.00     48.41      0.00      0.00     51.50
11:23:44 AM     all      0.33      0.00     49.62      0.00      0.00     50.04
11:23:45 AM     all      0.17      0.00     49.24      0.00      0.00     50.59
11:23:46 AM     all      0.17      0.00     48.85      0.00      0.00     50.98
11:23:47 AM     all      0.09      0.00     48.93      0.09      0.00     50.90
Average:        all      0.16      0.00     48.76      0.02      0.00     51.06
