Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

08:56:14 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:56:15 PM     all      0.26      0.00     46.44      0.00      0.00     53.30
08:56:16 PM     all      0.17      0.00     48.92      0.00      0.00     50.91
08:56:17 PM     all      0.17      0.00     49.61      0.00      0.00     50.21
08:56:18 PM     all      0.34      0.00     49.79      0.00      0.00     49.87
08:56:19 PM     all      0.17      0.00     50.04      0.00      0.00     49.79
08:56:20 PM     all      0.26      0.00     49.36      0.00      0.00     50.38
08:56:21 PM     all      0.08      0.00     49.92      0.00      0.00     50.00
08:56:22 PM     all      0.17      0.00     48.89      0.00      0.00     50.94
08:56:23 PM     all      0.17      0.00     49.54      0.00      0.00     50.29
08:56:24 PM     all      0.08      0.00     49.96      0.00      0.00     49.96
08:56:25 PM     all      0.25      0.00     49.87      0.08      0.00     49.79
08:56:26 PM     all      0.00      0.00     49.57      0.00      0.00     50.43
08:56:27 PM     all      0.17      0.00     49.49      0.00      0.00     50.34
08:56:28 PM     all      0.09      0.00     49.28      0.00      0.00     50.64
08:56:29 PM     all      0.17      0.00     49.02      0.00      0.00     50.81
08:56:30 PM     all      0.26      0.00     49.10      0.00      0.00     50.64
08:56:31 PM     all      0.08      0.00     49.62      0.00      0.00     50.30
08:56:32 PM     all      0.17      0.00     49.19      0.00      0.00     50.64
08:56:33 PM     all      0.09      0.00     49.01      0.00      0.00     50.90
08:56:34 PM     all      0.17      0.00     49.62      0.00      0.00     50.21
08:56:35 PM     all      0.25      0.00     49.37      0.00      0.00     50.38
08:56:36 PM     all      0.09      0.00     49.10      0.00      0.00     50.81
08:56:37 PM     all      0.26      0.00     49.19      0.09      0.00     50.47
08:56:38 PM     all      0.09      0.00     49.48      0.00      0.00     50.43
08:56:39 PM     all      0.09      0.00     49.15      0.00      0.00     50.77
08:56:40 PM     all      0.25      0.00     49.32      0.00      0.00     50.42
08:56:41 PM     all      0.42      0.00     49.79      0.00      0.00     49.79
Average:        all      0.18      0.00     49.32      0.01      0.00     50.49
