Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

07:16:54 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
07:16:55 PM     all      0.17      0.00     45.67      0.00      0.00     54.16
07:16:56 PM     all      0.09      0.00     47.33      0.00      0.00     52.59
07:16:57 PM     all      0.18      0.00     43.81      0.00      0.00     56.00
07:16:58 PM     all      0.00      0.00     40.24      0.00      0.00     59.76
07:16:59 PM     all      0.18      0.00     38.91      0.00      0.00     60.91
07:17:00 PM     all      0.28      0.00     35.44      0.09      0.00     64.18
07:17:01 PM     all      0.09      0.00     38.15      0.00      0.00     61.76
07:17:02 PM     all      0.09      0.00     43.55      0.00      0.00     56.36
07:17:03 PM     all      0.09      0.00     44.86      0.00      0.00     55.05
07:17:04 PM     all      0.00      0.00     47.50      0.00      0.00     52.50
07:17:05 PM     all      0.00      0.00     48.24      0.00      0.00     51.76
07:17:06 PM     all      0.17      0.00     49.18      0.00      0.00     50.64
07:17:07 PM     all      0.34      0.00     49.28      0.00      0.00     50.38
07:17:08 PM     all      0.25      0.00     48.90      0.00      0.00     50.84
07:17:09 PM     all      0.00      0.00     47.56      0.00      0.00     52.44
07:17:10 PM     all      0.17      0.00     47.90      0.09      0.00     51.84
07:17:11 PM     all      0.17      0.00     48.09      0.00      0.00     51.74
07:17:12 PM     all      0.25      0.00     48.64      0.00      0.00     51.10
07:17:13 PM     all      0.09      0.00     49.14      0.00      0.00     50.78
07:17:14 PM     all      0.09      0.00     48.92      0.00      0.00     51.00
07:17:15 PM     all      0.17      0.00     48.74      0.00      0.00     51.09
07:17:16 PM     all      0.09      0.00     48.57      0.00      0.00     51.34
07:17:17 PM     all      0.26      0.00     48.25      0.00      0.00     51.49
07:17:18 PM     all      0.26      0.00     48.12      0.00      0.00     51.62
07:17:19 PM     all      0.09      0.00     48.67      0.00      0.00     51.25
07:17:20 PM     all      0.09      0.00     48.66      0.00      0.00     51.25
07:17:21 PM     all      0.34      0.00     47.73      0.09      0.00     51.84
Average:        all      0.15      0.00     46.40      0.01      0.00     53.44
