Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

11:30:49 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:30:50 AM     all      0.00      0.00     15.69      0.00      0.00     84.31
11:30:51 AM     all      0.10      0.00     16.70      0.00      0.00     83.20
11:30:52 AM     all      0.00      0.00     18.37      0.00      0.00     81.63
11:30:53 AM     all      0.00      0.00     16.68      0.20      0.00     83.12
11:30:54 AM     all      0.00      0.00     16.96      0.00      0.00     83.04
11:30:55 AM     all      0.00      0.00     15.24      0.00      0.00     84.76
11:30:56 AM     all      0.00      0.00     14.94      0.00      0.00     85.06
11:30:57 AM     all      0.00      0.00     22.62      0.00      0.00     77.38
11:30:58 AM     all      0.10      0.00     24.80      0.10      0.00     75.00
11:30:59 AM     all      0.00      0.00     24.82      0.00      0.00     75.18
11:31:00 AM     all      0.00      0.00     25.61      0.00      0.00     74.39
11:31:01 AM     all      0.10      0.00     24.74      0.00      0.00     75.15
11:31:02 AM     all      0.11      0.00     23.00      0.00      0.00     76.90
11:31:03 AM     all      0.22      0.00     16.13      0.22      0.00     83.44
11:31:04 AM     all      0.00      0.00     14.19      0.00      0.00     85.81
11:31:05 AM     all      0.00      0.00     14.32      0.00      0.00     85.68
11:31:06 AM     all      0.21      0.00     15.20      0.00      0.00     84.59
11:31:07 AM     all      0.10      0.00     17.08      0.00      0.00     82.81
11:31:08 AM     all      0.21      0.00     16.37      0.00      0.00     83.42
11:31:09 AM     all      0.10      0.00     16.79      0.00      0.00     83.11
11:31:10 AM     all      0.10      0.00     17.56      0.00      0.00     82.33
11:31:11 AM     all      0.20      0.00     18.47      0.00      0.00     81.33
11:31:12 AM     all      0.20      0.00     18.65      0.00      0.00     81.14
11:31:13 AM     all      0.10      0.00     17.41      0.00      0.00     82.49
11:31:14 AM     all      0.11      0.00     16.30      0.11      0.00     83.49
11:31:15 AM     all      0.10      0.00     17.60      0.00      0.00     82.30
11:31:16 AM     all      0.10      0.00     17.00      0.00      0.00     82.90
Average:        all      0.08      0.00     18.29      0.02      0.00     81.61
