Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

10:41:35 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:41:36 AM     all      0.00      0.00     16.00      0.00      0.00     84.00
10:41:37 AM     all      0.09      0.00     14.24      0.00      0.00     85.68
10:41:38 AM     all      0.26      0.00     13.81      0.18      0.00     85.75
10:41:39 AM     all      0.09      0.00     13.91      0.00      0.00     86.00
10:41:40 AM     all      0.09      0.00     12.13      0.00      0.00     87.78
10:41:41 AM     all      0.18      0.00     12.76      0.00      0.00     87.07
10:41:42 AM     all      0.18      0.00     13.27      0.00      0.00     86.55
10:41:43 AM     all      0.09      0.00     13.90      0.00      0.00     86.02
10:41:44 AM     all      0.09      0.00     12.28      0.18      0.00     87.46
10:41:45 AM     all      0.09      0.00     12.53      0.00      0.00     87.38
10:41:46 AM     all      0.09      0.00     12.60      0.00      0.00     87.31
10:41:47 AM     all      0.18      0.00     12.99      0.00      0.00     86.83
10:41:48 AM     all      0.18      0.00     12.73      0.00      0.00     87.09
10:41:49 AM     all      0.09      0.00     12.99      0.09      0.00     86.83
10:41:50 AM     all      0.00      0.00     13.01      0.00      0.00     86.99
10:41:51 AM     all      0.09      0.00     12.54      0.00      0.00     87.37
10:41:52 AM     all      0.18      0.00     13.45      0.00      0.00     86.37
10:41:53 AM     all      0.18      0.00     12.83      0.00      0.00     86.99
10:41:54 AM     all      0.09      0.00     13.44      0.18      0.00     86.30
10:41:55 AM     all      0.09      0.00     12.91      0.00      0.00     87.00
10:41:56 AM     all      0.09      0.00     13.37      0.00      0.00     86.54
10:41:57 AM     all      0.00      0.00     14.22      0.00      0.00     85.78
10:41:58 AM     all      0.09      0.00     12.70      0.00      0.00     87.21
10:41:59 AM     all      0.09      0.00     13.40      0.09      0.00     86.42
10:42:00 AM     all      0.18      0.00     12.90      0.00      0.00     86.92
10:42:01 AM     all      0.09      0.00     12.90      0.00      0.00     87.01
10:42:02 AM     all      0.18      0.00     13.14      0.00      0.00     86.68
Average:        all      0.11      0.00     13.23      0.03      0.00     86.63
