Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

12:03:00 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:03:01 PM     all      0.25      0.00     46.55      0.00      0.00     53.20
12:03:02 PM     all      0.16      0.00     48.56      0.00      0.00     51.27
12:03:03 PM     all      0.17      0.00     47.59      0.00      0.00     52.24
12:03:04 PM     all      0.17      0.00     47.73      0.00      0.00     52.10
12:03:05 PM     all      0.25      0.00     48.80      0.00      0.00     50.95
12:03:06 PM     all      0.08      0.00     49.26      0.08      0.00     50.57
12:03:07 PM     all      0.00      0.00     49.84      0.00      0.00     50.16
12:03:08 PM     all      0.15      0.00     51.19      0.00      0.00     48.65
12:03:09 PM     all      0.16      0.00     49.96      0.00      0.00     49.88
12:03:10 PM     all      0.16      0.00     49.76      0.00      0.00     50.08
12:03:11 PM     all      0.33      0.00     48.81      0.08      0.00     50.78
12:03:12 PM     all      0.24      0.00     50.51      0.00      0.00     49.25
12:03:13 PM     all      0.16      0.00     50.28      0.00      0.00     49.57
12:03:14 PM     all      0.31      0.00     51.11      0.00      0.00     48.58
12:03:15 PM     all      0.23      0.00     51.73      0.00      0.00     48.05
12:03:16 PM     all      0.38      0.00     50.38      0.00      0.00     49.24
12:03:17 PM     all      0.16      0.00     47.00      0.00      0.00     52.84
12:03:18 PM     all      0.16      0.00     41.59      0.00      0.00     58.25
12:03:19 PM     all      0.33      0.00     30.20      0.00      0.00     69.47
12:03:20 PM     all      0.26      0.00     20.09      0.00      0.00     79.66
12:03:21 PM     all      0.17      0.00     18.43      0.00      0.00     81.40
12:03:22 PM     all      0.09      0.00     12.62      0.09      0.00     87.20
12:03:23 PM     all      0.09      0.00     24.28      0.00      0.00     75.64
12:03:24 PM     all      0.00      0.00     26.83      0.00      0.00     73.17
12:03:25 PM     all      0.26      0.00     22.05      0.00      0.00     77.69
12:03:26 PM     all      0.18      0.00     11.48      0.00      0.00     88.34
12:03:27 PM     all      0.00      0.00      6.38      0.00      0.00     93.62
Average:        all      0.18      0.00     39.66      0.01      0.00     60.15
