Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

11:02:26 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:02:27 AM     all      0.08      0.00      6.26      0.00      0.00     93.66
11:02:28 AM     all      0.00      0.00      7.45      0.17      0.00     92.38
11:02:29 AM     all      0.00      0.00      6.84      0.00      0.00     93.16
11:02:30 AM     all      0.08      0.00      7.85      0.00      0.00     92.06
11:02:31 AM     all      0.17      0.00      6.90      0.00      0.00     92.94
11:02:32 AM     all      0.00      0.00      7.00      0.00      0.00     93.00
11:02:33 AM     all      0.08      0.00      6.61      0.08      0.00     93.22
11:02:34 AM     all      0.00      0.00      7.54      0.00      0.00     92.46
11:02:35 AM     all      0.08      0.00      6.59      0.00      0.00     93.33
11:02:36 AM     all      0.00      0.00      6.92      0.00      0.00     93.08
11:02:37 AM     all      0.09      0.00      6.63      0.00      0.00     93.28
11:02:38 AM     all      0.00      0.00      7.54      0.00      0.00     92.46
11:02:39 AM     all      0.00      0.00      7.16      0.09      0.00     92.75
11:02:40 AM     all      0.08      0.00      7.87      0.00      0.00     92.04
11:02:41 AM     all      0.09      0.00      8.09      0.00      0.00     91.82
11:02:42 AM     all      0.08      0.00      8.24      0.00      0.00     91.68
11:02:43 AM     all      0.09      0.00      6.83      0.00      0.00     93.09
11:02:44 AM     all      0.00      0.00      8.64      0.17      0.00     91.19
11:02:45 AM     all      0.00      0.00      8.62      0.00      0.00     91.38
11:02:46 AM     all      0.08      0.00      8.21      0.00      0.00     91.71
11:02:47 AM     all      0.09      0.00      7.23      0.00      0.00     92.68
11:02:48 AM     all      0.09      0.00      7.02      0.00      0.00     92.89
11:02:49 AM     all      0.08      0.00      8.29      0.08      0.00     91.54
11:02:50 AM     all      1.35      0.00      8.11      0.34      0.00     90.19
11:02:51 AM     all      0.09      0.00      7.66      0.00      0.00     92.26
11:02:52 AM     all      0.00      0.00      8.22      0.00      0.00     91.78
11:02:53 AM     all      0.08      0.00      8.55      0.00      0.00     91.36
Average:        all      0.10      0.00      7.51      0.03      0.00     92.35
