Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

10:58:53 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:58:54 AM     all      0.09      0.00     15.89      0.00      0.00     84.02
10:58:55 AM     all      0.17      0.00     15.02      0.00      0.00     84.81
10:58:56 AM     all      0.26      0.00     14.51      0.09      0.00     85.14
10:58:57 AM     all      0.18      0.00     14.45      0.00      0.00     85.38
10:58:58 AM     all      0.09      0.00     13.86      0.00      0.00     86.05
10:58:59 AM     all      0.09      0.00     13.83      0.00      0.00     86.08
10:59:00 AM     all      0.09      0.00     13.67      0.00      0.00     86.24
10:59:01 AM     all      0.17      0.00     14.26      0.09      0.00     85.48
10:59:02 AM     all      0.09      0.00     14.52      0.00      0.00     85.39
10:59:03 AM     all      0.00      0.00     13.50      0.00      0.00     86.50
10:59:04 AM     all      0.09      0.00     14.56      0.00      0.00     85.35
10:59:05 AM     all      0.09      0.00     13.97      0.00      0.00     85.94
10:59:06 AM     all      0.09      0.00     13.52      0.18      0.00     86.22
10:59:07 AM     all      0.18      0.00     12.97      0.00      0.00     86.86
10:59:08 AM     all      0.09      0.00     12.89      0.00      0.00     87.02
10:59:09 AM     all      0.26      0.00     13.86      0.00      0.00     85.88
10:59:10 AM     all      0.00      0.00     13.22      0.00      0.00     86.78
10:59:11 AM     all      0.18      0.00     13.04      0.00      0.00     86.78
10:59:12 AM     all      0.00      0.00     14.05      0.09      0.00     85.86
10:59:13 AM     all      0.27      0.00     12.57      0.00      0.00     87.17
10:59:14 AM     all      0.09      0.00     12.28      0.00      0.00     87.63
10:59:15 AM     all      0.09      0.00     13.73      0.00      0.00     86.18
10:59:16 AM     all      0.09      0.00     13.29      0.00      0.00     86.63
10:59:17 AM     all      0.18      0.00     13.82      0.09      0.00     85.92
10:59:18 AM     all      0.18      0.00     12.18      0.00      0.00     87.64
10:59:19 AM     all      0.00      0.00      0.17      0.00      0.00     99.83
10:59:20 AM     all      0.00      0.00      7.36      0.00      0.00     92.64
Average:        all      0.11      0.00     12.98      0.02      0.00     86.88
