Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

04:48:15 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
04:48:16 PM     all      0.08      0.00      0.84      0.25      0.00     98.82
04:48:17 PM     all      0.00      0.00      0.76      0.00      0.00     99.24
04:48:18 PM     all      0.08      0.00      0.92      0.00      0.00     98.99
04:48:19 PM     all      0.00      0.00      1.42      0.00      0.00     98.58
04:48:20 PM     all      0.08      0.00      0.59      0.00      0.00     99.33
04:48:21 PM     all      0.08      0.00      0.51      0.17      0.00     99.24
04:48:22 PM     all      0.00      0.00      0.93      0.00      0.00     99.07
04:48:23 PM     all      0.00      0.00      0.84      0.00      0.00     99.16
04:48:24 PM     all      0.08      0.00      1.09      0.00      0.00     98.82
04:48:25 PM     all      0.08      0.00      0.51      0.00      0.00     99.41
04:48:26 PM     all      0.00      0.00      1.18      0.00      0.00     98.82
04:48:27 PM     all      0.00      0.00      0.34      0.17      0.00     99.49
04:48:28 PM     all      0.08      0.00      0.51      0.00      0.00     99.41
04:48:29 PM     all      0.00      0.00      0.76      0.00      0.00     99.24
04:48:30 PM     all      0.00      0.00      0.68      0.00      0.00     99.32
04:48:31 PM     all      0.08      0.00      0.93      0.00      0.00     98.98
04:48:32 PM     all      0.00      0.00      0.43      0.00      0.00     99.57
04:48:33 PM     all      0.08      0.00      1.27      0.08      0.00     98.56
04:48:34 PM     all      0.00      0.00      0.60      0.00      0.00     99.40
04:48:35 PM     all      0.08      0.00      1.27      0.00      0.00     98.64
04:48:36 PM     all      0.09      0.00      0.68      0.00      0.00     99.23
04:48:37 PM     all      0.09      0.00      0.77      0.00      0.00     99.15
04:48:38 PM     all      0.00      0.00      2.02      0.00      0.00     97.98
04:48:39 PM     all      0.00      0.00      0.34      0.17      0.00     99.49
04:48:40 PM     all      0.08      0.00      2.02      0.00      0.00     97.90
04:48:41 PM     all      0.00      0.00      0.34      0.00      0.00     99.66
04:48:42 PM     all      0.08      0.00      1.44      0.00      0.00     98.48
Average:        all      0.04      0.00      0.89      0.03      0.00     99.04
