Linux 3.18.0-dctcp-official-rtomin10 (arldcn8) 	10/08/2015 	_x86_64_	(12 CPU)

06:26:15 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:26:16 PM     all      0.09      0.00     18.89      0.17      0.00     80.85
06:26:17 PM     all      0.17      0.00     15.64      0.00      0.00     84.19
06:26:18 PM     all      0.08      0.00     15.59      0.00      0.00     84.33
06:26:19 PM     all      0.00      0.00     15.84      0.00      0.00     84.16
06:26:20 PM     all      0.17      0.00     15.35      0.00      0.00     84.48
06:26:21 PM     all      0.17      0.00     15.42      0.09      0.00     84.33
06:26:22 PM     all      0.17      0.00     16.32      0.00      0.00     83.52
06:26:23 PM     all      0.17      0.00     15.74      0.00      0.00     84.09
06:26:24 PM     all      0.08      0.00     15.74      0.00      0.00     84.18
06:26:25 PM     all      0.08      0.00     15.88      0.00      0.00     84.04
06:26:26 PM     all      0.09      0.00     15.97      0.00      0.00     83.95
06:26:27 PM     all      0.00      0.00     15.66      0.17      0.00     84.17
06:26:28 PM     all      0.17      0.00     13.92      0.00      0.00     85.91
06:26:29 PM     all      0.08      0.00     16.26      0.00      0.00     83.66
06:26:30 PM     all      0.17      0.00     15.27      0.00      0.00     84.56
06:26:31 PM     all      0.00      0.00     15.36      0.00      0.00     84.64
06:26:32 PM     all      0.00      0.00     14.98      0.09      0.00     84.93
06:26:33 PM     all      0.17      0.00     15.89      0.00      0.00     83.94
06:26:34 PM     all      0.09      0.00     15.05      0.00      0.00     84.87
06:26:35 PM     all      0.17      0.00     14.59      0.00      0.00     85.23
06:26:36 PM     all      0.08      0.00     17.02      0.00      0.00     82.90
06:26:37 PM     all      0.00      0.00     16.00      0.17      0.00     83.83
06:26:38 PM     all      0.00      0.00     16.26      0.00      0.00     83.74
06:26:39 PM     all      0.09      0.00     14.68      0.00      0.00     85.23
06:26:40 PM     all      0.34      0.00     15.85      0.00      0.00     83.81
06:26:41 PM     all      0.08      0.00     16.37      0.00      0.00     83.55
06:26:42 PM     all      0.09      0.00     15.66      0.09      0.00     84.17
Average:        all      0.10      0.00     15.75      0.03      0.00     84.12
