Linux 3.18.0-dctcp-official-rtomin10 (arldcn19) 	10/08/2015 	_x86_64_	(12 CPU)

06:53:33 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
06:53:34 PM     all      0.10      0.00     15.06      0.00      0.00     84.84
06:53:35 PM     all      0.10      0.00     15.22      0.00      0.00     84.68
06:53:36 PM     all      0.31      0.00     13.99      0.10      0.00     85.59
06:53:37 PM     all      0.11      0.00     13.66      0.00      0.00     86.24
06:53:38 PM     all      0.00      0.00     14.55      0.00      0.00     85.45
06:53:39 PM     all      0.31      0.00     14.24      0.00      0.00     85.45
06:53:40 PM     all      0.11      0.00     13.76      0.00      0.00     86.13
06:53:41 PM     all      0.21      0.00     14.02      0.10      0.00     85.67
06:53:42 PM     all      0.21      0.00     14.12      0.00      0.00     85.67
06:53:43 PM     all      0.10      0.00     14.64      0.00      0.00     85.26
06:53:44 PM     all      0.00      0.00     14.17      0.00      0.00     85.83
06:53:45 PM     all      0.00      0.00     14.74      0.00      0.00     85.26
06:53:46 PM     all      0.10      0.00     15.98      0.00      0.00     83.93
06:53:47 PM     all      0.00      0.00     17.17      0.00      0.00     82.83
06:53:48 PM     all      0.00      0.00     18.50      0.00      0.00     81.50
06:53:49 PM     all      0.00      0.00     18.87      0.00      0.00     81.13
06:53:50 PM     all      0.00      0.00     18.82      0.00      0.00     81.18
06:53:51 PM     all      0.00      0.00     19.07      0.00      0.00     80.93
06:53:52 PM     all      0.00      0.00     18.32      0.19      0.00     81.50
06:53:53 PM     all      0.00      0.00     17.25      0.00      0.00     82.75
06:53:54 PM     all      0.00      0.00     16.65      0.00      0.00     83.35
06:53:55 PM     all      0.00      0.00     16.35      0.00      0.00     83.65
06:53:56 PM     all      0.00      0.00     13.32      0.00      0.00     86.68
06:53:57 PM     all      0.00      0.00     13.52      0.00      0.00     86.48
06:53:58 PM     all      0.00      0.00     13.54      0.00      0.00     86.46
06:53:59 PM     all      0.00      0.00     15.12      0.00      0.00     84.88
06:54:00 PM     all      0.10      0.00     14.35      0.00      0.00     85.55
Average:        all      0.06      0.00     15.57      0.01      0.00     84.35
