------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.992 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=1286.347 (std-dev=89.436)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation = 1466.975
sockperf: ---> percentile 99.999 = 1466.975
sockperf: ---> percentile 99.990 = 1466.975
sockperf: ---> percentile 99.900 = 1457.254
sockperf: ---> percentile 99.000 = 1436.909
sockperf: ---> percentile 90.000 = 1402.475
sockperf: ---> percentile 75.000 = 1359.759
sockperf: ---> percentile 50.000 = 1290.019
sockperf: ---> percentile 25.000 = 1219.469
sockperf: ---> <MIN> observation =  903.707
------------------------------
txTime, rxTime
2.066490940, 2.068745526
2.076490952, 2.079133947
2.086490951, 2.089036693
2.096490963, 2.099336023
2.106490956, 2.109204220
2.116490949, 2.119045148
2.126490953, 2.128861209
2.136490947, 2.139243949
2.146490946, 2.149076163
2.156491006, 2.158919279
2.166490993, 2.169326060
2.176490949, 2.179161642
2.186490943, 2.188997859
2.196490956, 2.198830277
2.206490985, 2.209178597
2.216490984, 2.219036626
2.226490950, 2.228917098
2.236490998, 2.239240266
2.246490999, 2.249024675
2.256490983, 2.258822560
2.266490942, 2.269218809
2.276490934, 2.279051918
2.286490986, 2.288872377
2.296490973, 2.299246600
2.306490971, 2.309122338
2.316490945, 2.318933996
2.326490941, 2.329295508
2.336490975, 2.339139483
2.346490932, 2.348981962
2.356490941, 2.358764984
2.366490952, 2.369164180
2.376490946, 2.378981545
2.386490945, 2.388812756
2.396490937, 2.399228131
2.406490939, 2.409057084
2.416490934, 2.418909874
2.426490951, 2.429275279
2.436490930, 2.439114445
2.446490934, 2.448969321
2.456490939, 2.459377749
2.466490945, 2.469166675
2.476490937, 2.479024922
2.486490946, 2.488866628
2.496490932, 2.499218821
2.506490932, 2.509038137
2.516490939, 2.518856932
2.526490926, 2.529263793
2.536490935, 2.538571280
2.546490933, 2.548943755
2.556490931, 2.559318403
2.566490962, 2.569185733
2.576490983, 2.579015103
2.586490940, 2.588860162
2.596490944, 2.599240158
2.606490988, 2.609081012
2.616490983, 2.618852744
2.626490958, 2.629311169
2.636490939, 2.639147401
2.646490937, 2.648973371
2.656490986, 2.658795293
2.666490945, 2.669188960
2.676490943, 2.679054092
2.686490948, 2.688869612
2.696490987, 2.699263687
2.706490984, 2.709098269
2.716490981, 2.718932572
2.726490940, 2.729328112
2.736490939, 2.739156841
2.746490969, 2.748972786
2.756490927, 2.758760693
2.766490956, 2.769154099
2.776490946, 2.778970183
2.786490945, 2.788854740
2.796490939, 2.799236330
2.806490951, 2.809075130
2.816490936, 2.818832237
2.826490945, 2.829272023
2.836490934, 2.839130463
2.846490941, 2.848968327
2.856490942, 2.858825224
2.866490934, 2.869220871
2.876490932, 2.879101076
2.886490935, 2.888900592
2.896490926, 2.899298675
2.906490929, 2.909138551
2.916490924, 2.918966511
2.926490934, 2.929424886
2.936490962, 2.939188909
2.946490965, 2.949020966
2.956490962, 2.958823412
2.966490950, 2.969180513
2.976490972, 2.979090624
2.986490996, 2.988942274
2.996490989, 2.999315558
3.006490990, 3.009112531
3.016490952, 3.018970884
3.026490954, 3.029347643
3.036490993, 3.039199377
3.046490968, 3.048999356
3.056490931, 3.058808391
3.066490933, 3.069224679
3.076490922, 3.079021438
3.086490982, 3.088839630
3.096490931, 3.099237537
3.106490928, 3.109048496
3.116490931, 3.118830176
3.126490921, 3.129265561
3.136490971, 3.139127169
3.146490925, 3.148921262
3.156490926, 3.159308635
3.166490921, 3.169118429
3.176490964, 3.178976682
3.186490952, 3.188825833
3.196490956, 3.199189236
3.206490945, 3.209064188
3.216490939, 3.218854707
3.226490943, 3.229256399
3.236490945, 3.239120255
3.246490942, 3.248926065
3.256490949, 3.259323357
3.266490942, 3.269141837
3.276490949, 3.278968802
3.286490942, 3.288774502
3.296490939, 3.299179505
3.306490943, 3.309010596
3.316490945, 3.318829321
3.326490944, 3.329192852
3.336490938, 3.339023733
3.346490935, 3.348839881
3.356490930, 3.359222714
3.366490937, 3.369026029
3.376491002, 3.378869363
3.386490949, 3.389236555
3.396490949, 3.399145993
3.406490959, 3.408945857
3.416490944, 3.419370330
3.426490941, 3.429218382
3.436490941, 3.439091784
3.446490993, 3.448914104
3.456490981, 3.459315546
3.466490990, 3.469153386
3.476490976, 3.479020089
3.486490952, 3.488816502
3.496490935, 3.498630968
3.506490965, 3.509022015
3.516490975, 3.518863655
3.526490925, 3.529207444
3.536490927, 3.539064728
3.546490967, 3.548859182
3.556490970, 3.559235654
3.566490937, 3.569067777
3.576490956, 3.578949018
3.586490953, 3.589317674
3.596490942, 3.599183799
3.606490937, 3.608992841
3.616490945, 3.618803409
3.626490943, 3.629196460
3.636490933, 3.639081248
3.646490940, 3.648857102
3.656490949, 3.659250447
3.666490932, 3.669091987
3.676490935, 3.678945285
3.686490944, 3.689362569
3.696490929, 3.699192620
3.706490928, 3.709018929
3.716490933, 3.718873249
3.726490928, 3.729239426
3.736490934, 3.739069831
3.746490926, 3.748915361
3.756490932, 3.759295071
3.766490929, 3.769096236
3.776490998, 3.778973578
3.786490989, 3.789343558
3.796490972, 3.799156121
3.806490942, 3.808992642
3.816490936, 3.818806829
3.826490981, 3.829210308
3.836490983, 3.839027777
3.846490941, 3.848870275
3.856490943, 3.859242196
3.866490940, 3.869106119
3.876490984, 3.878960543
3.886490933, 3.889365870
3.896490952, 3.899201616
3.906490937, 3.909145406
3.916490989, 3.918913176
3.926490999, 3.929358750
3.936490956, 3.939171113
3.946490950, 3.949002384
3.956490952, 3.958801976
3.966490945, 3.969163201
3.976490983, 3.979002272
3.986490953, 3.988831906
3.996490944, 3.999222561
4.006490948, 4.009076006
4.016490942, 4.018931990
4.026490935, 4.029343723
4.036490937, 4.039160107
4.046490933, 4.048993766
4.056490938, 4.058795416
4.066490939, 4.069222934
4.076490929, 4.079025370
4.086490933, 4.088847122
4.096490933, 4.099249686
4.106490940, 4.109093482
4.116490938, 4.118935441
4.126490927, 4.129359597
4.136490932, 4.139151423
4.146490925, 4.148983003
4.156490931, 4.158789715
4.166490934, 4.169168913
4.176490927, 4.178988978
4.186490959, 4.188816697
4.196490949, 4.199233185
4.206490989, 4.209116334
4.216490964, 4.218946199
4.226490984, 4.229342852
4.236490936, 4.239262708
4.246490933, 4.249056053
4.256490980, 4.258360595
4.266490974, 4.269265346
4.276490929, 4.279081078
4.286490941, 4.288917144
4.296490981, 4.299332048
4.306490979, 4.309112196
4.316490941, 4.318975492
4.326490929, 4.328789030
4.336490956, 4.339204907
4.346490921, 4.349070808
4.356490974, 4.358881356
4.366490929, 4.369267187
4.376490922, 4.379058559
4.386490951, 4.388981053
4.396490944, 4.399360524
4.406490947, 4.409195809
4.416490951, 4.419022597
4.426490938, 4.428858138
4.436490949, 4.439245483
4.446490932, 4.449051650
4.456490949, 4.458864641
4.466490942, 4.469284557
4.476490944, 4.479084647
4.486490949, 4.488960799
4.496490945, 4.499405454
4.506490945, 4.509254036
4.516490937, 4.519070660
4.526490936, 4.528904388
4.536490925, 4.539343019
4.546490933, 4.549161075
4.556490936, 4.559007125
4.566490929, 4.568842938
4.576490929, 4.579182023
4.586490966, 4.589018580
4.596490949, 4.598828718
4.606490947, 4.609212678
4.616490952, 4.619076651
4.626490932, 4.628884914
4.636490938, 4.639259634
4.646490935, 4.649076076
4.656490974, 4.658929912
4.666490968, 4.669339788
4.676490933, 4.679195294
4.686493953, 4.689088452
4.696490998, 4.698831860
4.706490978, 4.709223339
4.716490938, 4.719099839
4.726490935, 4.728979352
4.736490932, 4.739319680
4.746490969, 4.749165149
4.756490965, 4.759014194
4.766490964, 4.768870919
4.776490929, 4.779203786
4.786490937, 4.789088807
4.796490966, 4.798869764
4.806490959, 4.809274467
4.816490939, 4.819100526
4.826490947, 4.829015655
4.836490956, 4.839332918
4.846490949, 4.849192407
4.856490942, 4.858995013
4.866490944, 4.868843419
4.876490949, 4.879217869
4.886490934, 4.889073900
4.896490939, 4.898844847
4.906490945, 4.909247050
4.916490945, 4.919043875
4.926490935, 4.928894416
4.936490942, 4.939248448
4.946490945, 4.949110420
4.956490942, 4.958914429
4.966490947, 4.968727142
4.976490937, 4.979121166
4.986490939, 4.988979299
4.996490951, 4.999308608
5.006490956, 5.009166416
5.016490962, 5.018988525
5.026490948, 5.028848699
5.036490940, 5.039224890
5.046490983, 5.049108810
5.056490942, 5.058866995
5.066490952, 5.069253383
5.076490977, 5.079103804
5.086490975, 5.088939419
5.096490991, 5.099370131
5.106490944, 5.109227024
5.116490934, 5.119037599
5.126490979, 5.128851505
5.136490986, 5.139256983
5.146490948, 5.149095734
5.156490935, 5.158944687
5.166490927, 5.169350435
5.176490974, 5.179205821
5.186490932, 5.189062269
5.196490936, 5.198811073
5.206490958, 5.209251177
5.216490945, 5.219080462
5.226490949, 5.228941566
5.236490946, 5.239331540
5.246490942, 5.249146680
5.256490944, 5.258992082
5.266490944, 5.268802751
5.276490945, 5.279179967
5.286490943, 5.288981154
5.296490932, 5.298830830
5.306490941, 5.309219176
5.316490934, 5.319098596
5.326490933, 5.328905043
5.336490932, 5.339285643
5.346490930, 5.349125508
5.356490932, 5.358992549
5.366490932, 5.368816650
5.376490926, 5.379249744
5.386490935, 5.389041081
5.396490925, 5.398843565
5.406491006, 5.409247029
5.416490989, 5.419075102
5.426490949, 5.428903797
5.436490950, 5.439311587
5.446490959, 5.449159081
5.456490975, 5.458452471
5.466490936, 5.468847920
5.476490936, 5.479207488
5.486490938, 5.489064972
5.496490973, 5.498956195
5.506490945, 5.509331920
5.516490924, 5.519129391
5.526490927, 5.528980480
5.536490963, 5.538818117
5.546490966, 5.549164079
5.556490959, 5.558992306
5.566490920, 5.568800890
5.576490920, 5.579159378
5.586490964, 5.589046009
5.596490962, 5.598832426
5.606490963, 5.609249499
5.616490959, 5.619096257
5.626490944, 5.628959358
5.636490945, 5.639316841
5.646490944, 5.649130972
5.656490942, 5.658970833
5.666490950, 5.668790881
5.676490935, 5.679168015
5.686490942, 5.689003203
5.696490944, 5.698807780
5.706490933, 5.709200718
5.716490937, 5.719052755
5.726490939, 5.728864884
5.736490939, 5.739278662
5.746490941, 5.749104852
5.756490934, 5.759023449
5.766490955, 5.769374860
5.776490929, 5.779220042
5.786490926, 5.789031389
5.796490940, 5.798837413
5.806490928, 5.809205103
5.816491004, 5.819066006
5.826490989, 5.828922759
5.836490969, 5.839320465
5.846490945, 5.848629551
5.856490991, 5.858969653
5.866490998, 5.868786068
5.876490977, 5.879160571
5.886490949, 5.888998218
5.896490949, 5.898803401
5.906490958, 5.909194768
5.916490979, 5.919045419
5.926490972, 5.928857755
5.936490943, 5.939233882
5.946490942, 5.949085981
5.956490986, 5.958855765
5.966490981, 5.969257747
5.976490972, 5.979088728
5.986490953, 5.988966926
5.996490936, 5.999306221
6.006490929, 6.009135261
6.016490962, 6.019009097
6.026490947, 6.028826730
6.036490952, 6.039187868
6.046490951, 6.049123479
6.056490962, 6.058859017
6.066490944, 6.069223518
6.076490948, 6.079058872
6.086490943, 6.088906566
6.096490941, 6.098726240
6.106490937, 6.109117143
6.116490932, 6.118966017
6.126490941, 6.129349064
6.136490931, 6.139209641
6.146490932, 6.149028518
6.156490927, 6.158332522
6.166490927, 6.169228105
6.176490932, 6.179073394
6.186490935, 6.188885936
6.196490920, 6.199266828
6.206490929, 6.208545762
6.216490930, 6.218903730
6.226490952, 6.229295903
6.236490955, 6.238596629
6.246490993, 6.249058903
6.256490985, 6.258829195
6.266490960, 6.269204430
6.276490942, 6.279118062
6.286490998, 6.288880162
6.296490979, 6.299248176
6.306490945, 6.309135843
6.316490939, 6.318938546
6.326490958, 6.328775203
6.336490975, 6.339193836
6.346490972, 6.349011535
6.356490972, 6.358848647
6.366490936, 6.369180879
6.376490929, 6.379002895
6.386490979, 6.388815378
6.396490971, 6.399218176
6.406490912, 6.409074314
6.416490920, 6.418884642
6.426490927, 6.429265327
6.436490963, 6.439117208
6.446490953, 6.448935874
6.456490938, 6.459336064
6.466490952, 6.469229736
6.476490936, 6.479028783
6.486490948, 6.488822136
6.496490942, 6.499238063
6.506490932, 6.509089058
6.516490946, 6.518967333
6.526490929, 6.529306772
6.536490934, 6.539133325
6.546490941, 6.548968787
6.556490938, 6.558760123
6.566490938, 6.569201152
6.576490940, 6.579016933
6.586490928, 6.588851059
6.596490942, 6.599214652
6.606490935, 6.609072644
6.616490934, 6.618919350
6.626490929, 6.629304168
6.636491001, 6.639129428
6.646490946, 6.648958434
6.656490940, 6.659340366
6.666490992, 6.669210831
6.676490958, 6.679037639
6.686490941, 6.688851011
6.696490948, 6.699251202
6.706490948, 6.709089284
6.716490976, 6.718917003
6.726490945, 6.729321225
6.736490942, 6.739149536
6.746490939, 6.749075748
6.756490989, 6.758829370
6.766490998, 6.769219100
6.776491002, 6.779093100
6.786490946, 6.788951667
6.796490944, 6.799299103
6.806490985, 6.809104873
6.816490997, 6.818981146
6.826490949, 6.829349729
6.836490949, 6.839137773
6.846490955, 6.849007440
6.856490953, 6.858829172
6.866490946, 6.869234232
6.876490952, 6.879057778
6.886490949, 6.888978431
6.896490954, 6.899314860
6.906490953, 6.909148744
6.916490947, 6.918993414
6.926490944, 6.928811554
6.936490945, 6.939226037
6.946490945, 6.949062751
6.956490949, 6.958866317
6.966490955, 6.969292601
6.976490936, 6.979102628
6.986490939, 6.988967350
6.996490932, 6.999341970
7.006490933, 7.009174545
7.016490937, 7.019014203
7.026490927, 7.028825460
7.036490936, 7.039223533
7.046490939, 7.049021638
7.056490992, 7.058861554
7.066490952, 7.069256624
7.076490939, 7.079086869
7.086490991, 7.088955761
7.096490981, 7.099321136
7.106490986, 7.109160687
7.116490931, 7.118992447
7.126490949, 7.128803253
7.136490971, 7.139198269
7.146490975, 7.149040152
7.156490979, 7.158863103
7.166490946, 7.169237330
7.176490939, 7.179057815
7.186490945, 7.188867211
7.196490966, 7.199247161
7.206490933, 7.209104315
7.216490924, 7.218921094
7.226490951, 7.229333449
7.236490962, 7.239158526
7.246490933, 7.248964770
7.256490966, 7.258826070
7.266490959, 7.269214046
7.276490944, 7.279014594
7.286490951, 7.288833639
7.296490934, 7.299197140
7.306490942, 7.309049896
7.316490952, 7.318829711
7.326490944, 7.329208124
7.336490940, 7.339084433
7.346490937, 7.348881674
7.356490946, 7.359331291
7.366490938, 7.369145565
7.376494256, 7.379006183
7.386490932, 7.388774905
7.396490932, 7.399179844
7.406490935, 7.408985975
7.416490942, 7.418829212
7.426490936, 7.429202232
7.436490934, 7.439011955
7.446490929, 7.448800472
7.456490965, 7.459214770
7.466490986, 7.469034507
7.476490993, 7.478858819
7.486490948, 7.489255756
7.496490936, 7.499095528
7.506490991, 7.508936850
7.516490979, 7.519308647
7.526490973, 7.529159025
7.536490932, 7.538982471
7.546490939, 7.548796377
7.556490959, 7.559195416
7.566490973, 7.569022671
7.576490929, 7.578864485
7.586490940, 7.589240151
7.596490942, 7.599083187
7.606490972, 7.608930727
7.616490980, 7.619326478
7.626490964, 7.629177016
7.636490944, 7.639054780
7.646490986, 7.648845865
7.656490972, 7.659210167
7.666490955, 7.669036055
7.676490941, 7.678861696
7.686490945, 7.689291536
7.696490945, 7.699122775
7.706490937, 7.708950497
7.716490937, 7.719370623
7.726490939, 7.729223289
7.736490937, 7.739042776
7.746490936, 7.748852643
7.756490933, 7.759240552
7.766490937, 7.769096282
7.776490932, 7.778952807
7.786490939, 7.789374275
7.796490929, 7.799214687
7.806490924, 7.809064499
7.816490933, 7.818846453
7.826490935, 7.829231074
7.836490936, 7.839068580
7.846490937, 7.848901810
7.856490926, 7.859276627
7.866490959, 7.869186768
7.876490986, 7.878956368
7.886490971, 7.889354178
7.896490984, 7.899189309
7.906490946, 7.908996281
7.916490940, 7.918816901
7.926490989, 7.929220010
7.936490977, 7.939027866
7.946490950, 7.948850489
7.956490945, 7.959223420
7.966490945, 7.969087633
7.976490971, 7.978862442
7.986490988, 7.989248179
7.996490932, 7.999099011
8.006490934, 8.008956869
8.016490933, 8.019359928
8.026490977, 8.029263677
8.036490982, 8.039052209
8.046490939, 8.048855547
8.056490934, 8.059285417
8.066490979, 8.069086633
8.076490976, 8.078842389
8.086490945, 8.089235421
8.096490938, 8.099076118
8.106490946, 8.108904115
8.116490942, 8.119310949
8.126490946, 8.129150845
8.136490936, 8.139006582
8.146490943, 8.148895902
8.156490967, 8.159179024
8.166490981, 8.168974218
8.176490949, 8.178820990
8.186490952, 8.189191227
8.196490942, 8.199007245
8.206490952, 8.208813013
8.216490949, 8.219191696
8.226490945, 8.229066900
8.236490941, 8.238860641
8.246490943, 8.249244470
8.256490945, 8.259076611
8.266490934, 8.268919644
8.276490943, 8.279298474
8.286490932, 8.289141715
8.296490944, 8.298939910
8.306490972, 8.309364791
8.316490993, 8.319191772
8.326490986, 8.329061720
8.336490952, 8.338846399
8.346490967, 8.349221918
8.356490960, 8.359059225
8.366490932, 8.368945922
8.376490943, 8.379278138
8.386490939, 8.389130791
8.396490995, 8.398970549
8.406490928, 8.408766208
8.416490967, 8.419213607
8.426490928, 8.429054809
8.436490934, 8.438806813
8.446490971, 8.449213069
8.456490934, 8.459075160
8.466490935, 8.468868057
8.476490937, 8.479285760
8.486490928, 8.489066555
8.496490972, 8.498927976
8.506490950, 8.509319895
8.516490946, 8.518625419
8.526490940, 8.528993286
8.536490942, 8.538832380
8.546490950, 8.549198206
8.556490950, 8.559021121
8.566490948, 8.568851052
8.576490938, 8.579231063
8.586490949, 8.589065535
8.596490945, 8.598847355
8.606490947, 8.609218851
8.616490942, 8.619064881
8.626490932, 8.628904125
8.636490937, 8.639281632
8.646490948, 8.648589289
8.656490932, 8.659024936
8.666490958, 8.669324657
8.676490950, 8.679176324
8.686490943, 8.689020122
8.696490931, 8.698843090
8.706490938, 8.709191394
8.716490998, 8.719034755
8.726490999, 8.728852989
8.736490990, 8.739249083
8.746490959, 8.749077398
8.756490941, 8.758840092
8.766490981, 8.768708840
8.776490975, 8.779097454
8.786490942, 8.788957217
8.796490933, 8.799280327
8.806490940, 8.809122742
8.816490975, 8.818945328
8.826490971, 8.828781162
8.836490951, 8.839182072
8.846490926, 8.848988156
8.856490931, 8.858849931
8.866490968, 8.869194366
8.876490957, 8.879053601
8.886490919, 8.888871411
8.896490926, 8.899258841
8.906490962, 8.909094540
8.916490952, 8.918947116
8.926490962, 8.929353713
8.936490962, 8.939196963
8.946490948, 8.948472576
8.956490945, 8.958815822
8.966490938, 8.969245425
8.976490935, 8.979070975
8.986490940, 8.988298355
8.996490942, 8.999268815
9.006490945, 9.009067802
9.016490931, 9.018834937
9.026490933, 9.028704403
9.036490933, 9.039075388
9.046490942, 9.048898135
9.056490940, 9.059337801
9.066490940, 9.069160813
9.076490932, 9.078991985
9.086490932, 9.088790792
9.096490935, 9.099202688
9.106490937, 9.109025767
9.116490997, 9.118850125
9.126490956, 9.129234118
9.136490941, 9.139057420
9.146490996, 9.148873702
9.156490941, 9.159252930
9.166490950, 9.169083126
9.176490939, 9.178987065
9.186490986, 9.189278744
9.196490994, 9.199091604
9.206490996, 9.208951603
9.216490937, 9.219347830
9.226490944, 9.229176425
9.236490961, 9.239020651
9.246490986, 9.248832359
9.256490991, 9.259218808
9.266490951, 9.269067274
9.276490949, 9.278918399
9.286490981, 9.289301754
9.296490990, 9.299160963
9.306490984, 9.308979373
9.316490938, 9.318785698
9.326490954, 9.329201310
9.336490947, 9.339078352
9.346490949, 9.348850966
9.356490954, 9.359242360
9.366490947, 9.369075643
9.376490950, 9.378961719
9.386490940, 9.389311643
9.396490952, 9.399131695
9.406490935, 9.408978407
9.416490944, 9.418818713
9.426490939, 9.429153882
9.436490951, 9.438992448
9.446490939, 9.448805891
9.456490942, 9.459252012
9.466490956, 9.469007358
9.476490943, 9.478852255
9.486490938, 9.489264667
9.496490944, 9.499094629
9.506490939, 9.508922892
9.516490938, 9.519337776
9.526490937, 9.529165616
9.536490958, 9.538992842
9.546490986, 9.548886292
9.556490979, 9.559188996
9.566490981, 9.569006986
9.576490982, 9.578835578
9.586490940, 9.589223247
9.596490939, 9.599053496
9.606490976, 9.608893179
9.616490974, 9.619334601
9.626490930, 9.629147689
9.636490932, 9.638982164
9.646490937, 9.648801278
9.656490966, 9.659193774
9.666490921, 9.669073030
9.676490926, 9.678886128
9.686490925, 9.689276904
9.696490931, 9.699209753
9.706490968, 9.709019178
9.716490967, 9.718831491
9.726490964, 9.729185495
9.736490922, 9.738997170
9.746490962, 9.748835755
9.756490953, 9.759197929
9.766490955, 9.769078188
9.776490952, 9.778879114
9.786490952, 9.789269622
9.796490948, 9.799102184
9.806490954, 9.808947468
9.816490943, 9.819329387
9.826490946, 9.829187255
9.836490939, 9.839004633
9.846490948, 9.848827692
9.856490945, 9.859196625
9.866490935, 9.869029951
9.876490938, 9.878299276
9.886490934, 9.889228857
9.896490941, 9.899071282
9.906490941, 9.908866062
9.916490936, 9.919240158
9.926490939, 9.929075192
9.936490933, 9.938904525
9.946490966, 9.949301583
9.956490949, 9.959203413
9.966490983, 9.968963608
9.976490982, 9.979347945
9.986490943, 9.989161902
9.996490952, 9.999003425
10.006490961, 10.008807130
10.016490983, 10.019201331
10.026490981, 10.029029779
10.036490972, 10.038878362
10.046490945, 10.049251619
10.056490931, 10.059096102
10.066490976, 10.068958889
10.076490977, 10.079332434
10.086490937, 10.089201519
10.096490928, 10.099050216
10.106490979, 10.108869418
10.116490968, 10.119251072
10.126490932, 10.129080510
10.136490943, 10.138928337
10.146490930, 10.149290301
10.156490950, 10.159179020
10.166490952, 10.169036047
10.176490949, 10.178844373
10.186490945, 10.189252981
10.196490939, 10.199099964
10.206490946, 10.208908277
10.216490946, 10.219305151
10.226490943, 10.229148441
10.236490950, 10.239020768
10.246490945, 10.248848873
10.256490935, 10.259256965
10.266490942, 10.268512079
10.276490927, 10.278908152
10.286490932, 10.289298042
10.296490939, 10.299134775
10.306490929, 10.308941873
10.316490935, 10.319336441
10.326490939, 10.329146449
10.336490932, 10.338972277
10.346490935, 10.348764428
10.356491005, 10.359210523
10.366490956, 10.369037214
10.376490954, 10.378846381
10.386490987, 10.389226025
10.396490968, 10.399059058
10.406490977, 10.408914397
10.416490933, 10.419328735
10.426490952, 10.429211196
10.436490982, 10.439045014
10.446490971, 10.448857557
10.456490935, 10.459232274
10.466490939, 10.469065160
10.476490971, 10.478872140
10.486490971, 10.489244819
10.496490980, 10.499056584
10.506490937, 10.508876344
10.516490937, 10.519290616
10.526490963, 10.529138641
10.536490966, 10.538968199
10.546490954, 10.549319169
10.556490966, 10.559175297
10.566490944, 10.569026559
10.576490945, 10.578831280
10.586490946, 10.589218191
10.596490942, 10.599074170
10.606490952, 10.608918698
10.616490933, 10.619313096
10.626490935, 10.629153970
10.636490944, 10.638995119
10.646490945, 10.648805176
10.656490937, 10.659195261
10.666490932, 10.669044575
10.676490936, 10.678861760
10.686490934, 10.689300346
10.696490929, 10.699101950
10.706490936, 10.708947890
10.716490931, 10.719348068
