------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 64.394 (std-dev=13.634)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  142.042
sockperf: ---> percentile 99.999 =  142.042
sockperf: ---> percentile 99.990 =  142.042
sockperf: ---> percentile 99.900 =  127.626
sockperf: ---> percentile 99.000 =  108.688
sockperf: ---> percentile 90.000 =   84.550
sockperf: ---> percentile 75.000 =   68.188
sockperf: ---> percentile 50.000 =   59.755
sockperf: ---> percentile 25.000 =   55.078
sockperf: ---> <MIN> observation =   34.573
------------------------------
txTime, rxTime
2.064277396, 2.064410342
2.074277394, 2.074417242
2.084277399, 2.084391708
2.094277385, 2.094392507
2.104277379, 2.104481628
2.114277425, 2.114482450
2.124277415, 2.124415620
2.134277421, 2.134419729
2.144277412, 2.144404899
2.154277407, 2.154463732
2.164277395, 2.164393631
2.174277398, 2.174413451
2.184277392, 2.184421587
2.194277388, 2.194421624
2.204277390, 2.204393919
2.214277387, 2.214403656
2.224277379, 2.224397833
2.234277375, 2.234394204
2.244277378, 2.244394268
2.254277371, 2.254398613
2.264277375, 2.264404464
2.274277369, 2.274394660
2.284277374, 2.284405808
2.294277371, 2.294392349
2.304277378, 2.304405688
2.314277381, 2.314386133
2.324277378, 2.324394091
2.334277377, 2.334398911
2.344277374, 2.344385157
2.354277373, 2.354395177
2.364277374, 2.364392958
2.374277377, 2.374414109
2.384277375, 2.384384584
2.394277377, 2.394385508
2.404277372, 2.404400661
2.414277371, 2.414411683
2.424277375, 2.424385810
2.434277374, 2.434385300
2.444277372, 2.444410057
2.454277376, 2.454424297
2.464277380, 2.464392837
2.474277374, 2.474382438
2.484277372, 2.484401632
2.494277379, 2.494386944
2.504277375, 2.504384269
2.514277396, 2.514399711
2.524277411, 2.524441838
2.534277379, 2.534388528
2.544277372, 2.544400144
2.554277374, 2.554411941
2.564277375, 2.564401668
2.574277373, 2.574390728
2.584277378, 2.584382730
2.594277377, 2.594396926
2.604277372, 2.604384910
2.614277377, 2.614403063
2.624277375, 2.624391270
2.634277376, 2.634421919
2.644277425, 2.644424523
2.654277374, 2.654402456
2.664277373, 2.664393276
2.674277372, 2.674371033
2.684277374, 2.684380123
2.694277375, 2.694403858
2.704277377, 2.704418990
2.714277372, 2.714361505
2.724277373, 2.724382066
2.734277378, 2.734414220
2.744277378, 2.744384326
2.754277377, 2.754388995
2.764277412, 2.764388023
2.774277371, 2.774401218
2.784277371, 2.784387529
2.794277374, 2.794390872
2.804277375, 2.804414341
2.814277377, 2.814420888
2.824277371, 2.824386069
2.834277376, 2.834406994
2.844277375, 2.844391731
2.854277374, 2.854387277
2.864277378, 2.864391426
2.874277410, 2.874384319
2.884277375, 2.884446131
2.894277379, 2.894386168
2.904277375, 2.904386246
2.914277374, 2.914411086
2.924277397, 2.924432947
2.934277374, 2.934402482
2.944277376, 2.944394730
2.954277380, 2.954392627
2.964277391, 2.964391006
2.974277375, 2.974385988
2.984277374, 2.984404245
2.994277375, 2.994451392
3.004277376, 3.004389683
3.014277380, 3.014409880
3.024277376, 3.024395964
3.034277371, 3.034387426
3.044277371, 3.044414191
3.054277378, 3.054382904
3.064277379, 3.064400845
3.074277378, 3.074390236
3.084277371, 3.084412168
3.094277369, 3.094395214
3.104277362, 3.104457315
3.114277428, 3.114420738
3.124277362, 3.124487967
3.134277428, 3.134474487
3.144277388, 3.144406519
3.154277393, 3.154388542
3.164277373, 3.164397623
3.174277375, 3.174522938
3.184277418, 3.184477028
3.194277375, 3.194405175
3.204277374, 3.204398458
3.214277374, 3.214412157
3.224277371, 3.224376474
3.234277365, 3.234382605
3.244277366, 3.244385924
3.254277366, 3.254390443
3.264277371, 3.264388651
3.274277369, 3.274409592
3.284277368, 3.284436194
3.294277366, 3.294380963
3.304277366, 3.304373021
3.314277369, 3.314400683
3.324277369, 3.324398052
3.334277367, 3.334381421
3.344277364, 3.344409089
3.354277369, 3.354406765
3.364277365, 3.364385037
3.374277366, 3.374378422
3.384277368, 3.384394507
3.394277367, 3.394427484
3.404277365, 3.404382589
3.414277364, 3.414406963
3.424277366, 3.424396442
3.434277369, 3.434384051
3.444277366, 3.444390124
3.454277364, 3.454477112
3.464277409, 3.464479027
3.474277406, 3.474409433
3.484277394, 3.484411543
3.494277401, 3.494411024
3.504277391, 3.504393031
3.514277385, 3.514398348
3.524277390, 3.524398972
3.534277389, 3.534424021
3.544277388, 3.544393715
3.554277378, 3.554388704
3.564277385, 3.564409105
3.574277380, 3.574393070
3.584277381, 3.584391078
3.594277374, 3.594397781
3.604277377, 3.604392222
3.614277375, 3.614387447
3.624277367, 3.624411241
3.634277369, 3.634393429
3.644277362, 3.644429891
3.654277371, 3.654382986
3.664277365, 3.664381822
3.674277366, 3.674389052
3.684277385, 3.684463067
3.694277425, 3.694438390
3.704277369, 3.704416069
3.714277369, 3.714446470
3.724277366, 3.724383669
3.734277366, 3.734393368
3.744277365, 3.744388432
3.754277371, 3.754410680
3.764277364, 3.764383005
3.774277363, 3.774408973
3.784277370, 3.784378221
3.794277366, 3.794346512
3.804277369, 3.804390354
3.814277369, 3.814389356
3.824277366, 3.824447440
3.834277411, 3.834460174
3.844277367, 3.844404722
3.854277363, 3.854395627
3.864277369, 3.864382888
3.874277366, 3.874391309
3.884277367, 3.884391191
3.894277366, 3.894437564
3.904277368, 3.904379165
3.914277368, 3.914378107
3.924277366, 3.924389673
3.934277367, 3.934382046
3.944277362, 3.944381051
3.954277368, 3.954403488
3.964277365, 3.964408756
