------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.994 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=1752.562 (std-dev=307.540)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation = 2269.458
sockperf: ---> percentile 99.999 = 2269.458
sockperf: ---> percentile 99.990 = 2269.458
sockperf: ---> percentile 99.900 = 2267.695
sockperf: ---> percentile 99.000 = 2245.269
sockperf: ---> percentile 90.000 = 2154.628
sockperf: ---> percentile 75.000 = 2018.697
sockperf: ---> percentile 50.000 = 1774.281
sockperf: ---> percentile 25.000 = 1512.405
sockperf: ---> <MIN> observation = 1142.561
------------------------------
txTime, rxTime
2.066664522, 2.070292057
2.076664519, 2.080089862
2.086664528, 2.091107098
2.096664545, 2.100893987
2.106664527, 2.110735567
2.116664531, 2.119495709
2.126664518, 2.129277332
2.136664520, 2.139095722
2.146664523, 2.148959287
2.156664526, 2.159914758
2.166664520, 2.170916350
2.176664518, 2.180726241
2.186664517, 2.190564711
2.196664531, 2.200417418
2.206664526, 2.210248874
2.216664539, 2.220087905
2.226664521, 2.231038044
2.236664525, 2.239854684
2.246664525, 2.249708337
2.256664529, 2.259588450
2.266664524, 2.269477471
2.276664530, 2.280344426
2.286664522, 2.290206237
2.296664524, 2.301199915
2.306664525, 2.311059472
2.316664513, 2.320932742
2.326664522, 2.330807970
2.336664517, 2.340622576
2.346664519, 2.349356501
2.356664524, 2.359155114
2.366664513, 2.369113985
2.376664520, 2.380036025
2.386664515, 2.389824454
2.396664531, 2.400764067
2.406664534, 2.410614154
2.416664522, 2.420451899
2.426664524, 2.430284037
2.436664532, 2.440162192
2.446664532, 2.450008243
2.456664528, 2.459856526
2.466664528, 2.469789640
2.476664520, 2.479632236
2.486664525, 2.489410057
2.496664519, 2.500379822
2.506664520, 2.510289323
2.516664546, 2.520081615
2.526664537, 2.531019912
2.536664528, 2.540885677
2.546664522, 2.550735056
2.556664520, 2.560660815
2.566664522, 2.569364270
2.576664520, 2.579174943
2.586664512, 2.589021874
2.596664522, 2.599970017
2.606664544, 2.609818371
2.616664530, 2.620803159
2.626664525, 2.630630688
2.636664521, 2.640501068
2.646664532, 2.650341309
2.656664520, 2.660156874
2.666664517, 2.671161186
2.676664526, 2.681030670
2.686664526, 2.689782959
2.696664512, 2.699662430
2.706664516, 2.709499824
2.716664520, 2.719302198
2.726664510, 2.730241616
2.736664514, 2.740094264
2.746664514, 2.751053832
2.756664517, 2.760990450
2.766664516, 2.770834486
2.776664514, 2.780700055
2.786664574, 2.790499434
2.796664525, 2.799208496
2.806664518, 2.809063161
2.816664547, 2.820026260
2.826664538, 2.829865047
2.836664524, 2.839730085
2.846664521, 2.850657812
2.856664521, 2.860523000
2.866664536, 2.870380873
2.876664533, 2.880171377
2.886664531, 2.891157054
2.896664515, 2.900991678
2.906664524, 2.910866145
2.916664514, 2.919636119
2.926664521, 2.929428885
2.936664514, 2.939260713
2.946664514, 2.949063910
2.956664515, 2.960071313
2.966664516, 2.971060542
2.976664504, 2.980865575
2.986664517, 2.990706333
2.996664510, 3.000626336
3.006664518, 3.010464635
3.016664547, 3.020262681
3.026664521, 3.028981714
3.036664531, 3.039954834
3.046664526, 3.049864782
3.056664521, 3.059687253
3.066664526, 3.069518124
3.076664520, 3.080431341
3.086664530, 3.090284974
3.096664524, 3.100125943
3.106664522, 3.111144108
3.116664561, 3.120987980
3.126664541, 3.130849121
3.136664536, 3.140699437
3.146664527, 3.149483598
3.156664525, 3.159251459
3.166664567, 3.169072897
3.176664520, 3.180040680
3.186664520, 3.189895050
3.196664517, 3.200898442
3.206664570, 3.210731239
3.216664523, 3.220534423
3.226664529, 3.230354776
3.236664542, 3.240210758
3.246664534, 3.250067007
3.256664523, 3.261012173
3.266664523, 3.269758281
3.276664525, 3.279636332
3.286664522, 3.289500848
3.296664531, 3.299292332
3.306664527, 3.310295985
3.316664520, 3.320081123
3.326664524, 3.331015353
3.336664516, 3.340861545
3.346664520, 3.350709597
3.356664525, 3.360585293
3.366664510, 3.370406909
3.376664512, 3.379110164
3.386664509, 3.388973570
3.396664514, 3.399979743
3.406664510, 3.409863555
3.416664545, 3.419667876
3.426664516, 3.430570269
3.436664531, 3.440453337
3.446664524, 3.450294095
3.456664524, 3.460162861
3.466664531, 3.471127574
3.476664534, 3.481016261
3.486664524, 3.490899532
3.496664532, 3.499715965
3.506664524, 3.509535807
3.516664511, 3.519292126
3.526664530, 3.529099625
3.536664518, 3.540073380
3.546664525, 3.551010831
3.556664525, 3.560871453
3.566664517, 3.570760548
3.576664511, 3.580549292
3.586664516, 3.590388542
3.596664516, 3.600240959
3.606664518, 3.609015581
3.616664516, 3.619946277
3.626664515, 3.629745213
3.636664536, 3.639645801
3.646664526, 3.649493146
3.656664518, 3.660412283
3.666664525, 3.670256406
3.676664522, 3.680100065
3.686664516, 3.691042568
3.696664524, 3.700905720
3.706664531, 3.710769742
3.716664526, 3.720622644
