------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.992 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=874.015 (std-dev=158.370)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation = 1180.873
sockperf: ---> percentile 99.999 = 1180.873
sockperf: ---> percentile 99.990 = 1180.873
sockperf: ---> percentile 99.900 = 1157.660
sockperf: ---> percentile 99.000 = 1139.648
sockperf: ---> percentile 90.000 = 1092.657
sockperf: ---> percentile 75.000 = 1008.204
sockperf: ---> percentile 50.000 =  877.596
sockperf: ---> percentile 25.000 =  734.908
sockperf: ---> <MIN> observation =  583.912
------------------------------
txTime, rxTime
2.066124764, 2.067606872
2.076124761, 2.077457212
2.086124759, 2.088418608
2.096124755, 2.098259971
2.106124759, 2.108098983
2.116124761, 2.117996996
2.126124765, 2.127872352
2.136124774, 2.137722821
2.146124778, 2.147598205
2.156124764, 2.157408413
2.166124758, 2.168332593
2.176124789, 2.178219399
2.186124770, 2.188089165
2.196124768, 2.197952275
2.206124762, 2.207815461
2.216124762, 2.217654683
2.226124774, 2.227529140
2.236124769, 2.237378787
2.246124766, 2.248368358
2.256124770, 2.258196491
2.266124769, 2.268056337
2.276124753, 2.277892194
2.286124759, 2.287780970
2.296124754, 2.297664512
2.306124758, 2.307505365
2.316124751, 2.317370335
2.326124759, 2.328346127
2.336124815, 2.338196168
2.346125034, 2.348030178
2.356124778, 2.357913450
2.366124771, 2.367800680
2.376124766, 2.377680102
2.386124768, 2.387473070
2.396124764, 2.397345388
2.406124758, 2.408264216
2.416124762, 2.418185445
2.426124758, 2.428079940
2.436124760, 2.437953882
2.446124759, 2.447807988
2.456124758, 2.457650446
2.466124756, 2.467514993
2.476124764, 2.477382269
2.486124762, 2.488379906
2.496124747, 2.498240967
2.506124753, 2.508130380
2.516124752, 2.517966579
2.526124754, 2.527826600
2.536124779, 2.537682553
2.546124780, 2.547548405
2.556124763, 2.557409286
2.566124766, 2.568384854
2.576124764, 2.578264626
2.586124763, 2.588113773
2.596124789, 2.597938246
2.606124768, 2.607811769
2.616124755, 2.617606312
2.626124764, 2.627542728
2.636124764, 2.637378254
2.646124758, 2.648303357
2.656124766, 2.658154865
2.666124761, 2.668026217
2.676124762, 2.677884221
2.686124746, 2.687760723
2.696124780, 2.697600701
2.706124758, 2.707478028
2.716124759, 2.717351034
2.726124749, 2.728349837
2.736124786, 2.738205596
2.746124785, 2.748082973
2.756124784, 2.757957177
2.766124777, 2.767806038
2.776124774, 2.777713220
2.786124771, 2.787549318
2.796124772, 2.797404101
2.806124769, 2.808359042
2.816124773, 2.818266214
2.826124758, 2.828084950
2.836124768, 2.837982955
2.846124774, 2.847849822
2.856124760, 2.857713239
2.866124766, 2.867541307
2.876124765, 2.877381204
2.886124758, 2.888352846
2.896124765, 2.898226712
2.906124756, 2.908100380
2.916124763, 2.917971028
2.926124753, 2.927820587
2.936124767, 2.937711797
2.946124778, 2.947534480
2.956124786, 2.957409241
2.966124771, 2.968382934
2.976124770, 2.978256719
2.986124768, 2.988100017
2.996124785, 2.997965676
3.006124788, 3.007805272
3.016124761, 3.017719245
3.026124758, 3.027559957
3.036124762, 3.037386429
3.046124751, 3.048339529
3.056124772, 3.058224203
3.066124764, 3.068088145
3.076124756, 3.077959648
3.086124753, 3.087842675
3.096124759, 3.097706223
3.106124758, 3.107546373
3.116124754, 3.117403722
3.126124752, 3.128327421
3.136124774, 3.138176351
3.146124772, 3.148068423
3.156124770, 3.157958280
3.166124760, 3.167798545
3.176124758, 3.177639054
3.186124774, 3.187486752
3.196124767, 3.197370555
3.206124764, 3.208355593
3.216124770, 3.218205643
3.226124757, 3.228088083
3.236124766, 3.237949043
3.246124754, 3.247810817
3.256124761, 3.257684742
3.266124754, 3.267527623
3.276124761, 3.277384246
3.286124751, 3.288363887
3.296124761, 3.298219943
3.306124760, 3.308055945
3.316124760, 3.317934519
3.326124747, 3.327843955
3.336124778, 3.337716059
3.346124763, 3.347559779
3.356124779, 3.357388901
3.366124770, 3.368347620
3.376124768, 3.378248223
3.386124766, 3.388087773
3.396124764, 3.397998009
3.406124771, 3.407852702
3.416124768, 3.417701470
3.426124770, 3.427547923
3.436124770, 3.437434967
3.446124768, 3.448385878
3.456124757, 3.458233270
3.466124764, 3.468092647
3.476124798, 3.477954193
3.486124759, 3.487820834
3.496124768, 3.497682190
3.506124760, 3.507546883
3.516124753, 3.517380768
3.526124748, 3.528333796
3.536124786, 3.538135845
3.546124768, 3.548029080
3.556124766, 3.557924086
3.566124768, 3.567803812
3.576124774, 3.577681453
3.586124777, 3.587518914
3.596124764, 3.597292589
3.606124762, 3.608294934
3.616124757, 3.618167429
3.626124756, 3.628054183
3.636124760, 3.637948293
3.646124761, 3.647812926
3.656124763, 3.657702109
3.666124762, 3.667522185
3.676124756, 3.677410061
3.686124755, 3.688378097
3.696124759, 3.698211133
3.706124764, 3.708072496
3.716124759, 3.717883603
3.726124759, 3.727727346
3.736124824, 3.737621591
3.746124784, 3.747468995
