------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.993 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=1755.416 (std-dev=305.436)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation = 2270.271
sockperf: ---> percentile 99.999 = 2270.271
sockperf: ---> percentile 99.990 = 2270.271
sockperf: ---> percentile 99.900 = 2259.703
sockperf: ---> percentile 99.000 = 2241.313
sockperf: ---> percentile 90.000 = 2152.864
sockperf: ---> percentile 75.000 = 2014.015
sockperf: ---> percentile 50.000 = 1779.875
sockperf: ---> percentile 25.000 = 1516.717
sockperf: ---> <MIN> observation = 1146.260
------------------------------
txTime, rxTime
2.066407566, 2.069923643
2.076407586, 2.080948128
2.086407622, 2.090697199
2.096407577, 2.099433025
2.106407567, 2.109319586
2.116407575, 2.119169239
2.126407567, 2.130132693
2.136407607, 2.139975008
2.146407569, 2.149836947
2.156407568, 2.160796480
2.166407570, 2.170667251
2.176407570, 2.179473670
2.186407628, 2.189243109
2.196407581, 2.199100445
2.206407629, 2.210088895
2.216407597, 2.219927760
2.226407581, 2.230886907
2.236407582, 2.240753778
2.246407586, 2.250621724
2.256407616, 2.260505169
2.266407575, 2.269283579
2.276407577, 2.279095008
2.286407586, 2.288917828
2.296407590, 2.299899108
2.306407579, 2.310837789
2.316407589, 2.320699250
2.326407574, 2.330568200
2.336407589, 2.340416934
2.346407579, 2.350284945
2.356407583, 2.358974173
2.366407578, 2.368807259
2.376407573, 2.379775458
2.386407582, 2.389681159
2.396407574, 2.400611978
2.406407580, 2.410475047
2.416407569, 2.420343485
2.426407569, 2.430225426
2.436407599, 2.438908766
2.446407592, 2.448756882
2.456407580, 2.459677355
2.466407588, 2.469559769
2.476407589, 2.480559620
2.486407589, 2.490376588
2.496407574, 2.500233649
2.506407618, 2.510090613
2.516407579, 2.519962580
2.526407616, 2.529748122
2.536407576, 2.539614963
2.546407568, 2.549500677
2.556407620, 2.559320299
2.566407580, 2.570337444
2.576407577, 2.580143459
2.586407572, 2.589967923
2.596407569, 2.599783243
2.606407572, 2.610748869
2.616407575, 2.620635492
2.626407602, 2.629378030
2.636407569, 2.639224117
2.646407563, 2.649071211
2.656407572, 2.658915438
2.666407576, 2.669796819
2.676407592, 2.680814801
2.686407590, 2.690680856
2.696407589, 2.700551867
2.706407591, 2.710375950
2.716407578, 2.719138569
2.726407578, 2.728979461
2.736407575, 2.738866926
2.746407582, 2.749775482
2.756407576, 2.760712406
2.766407573, 2.770588796
2.776407575, 2.780444942
2.786407583, 2.790319892
2.796407569, 2.799031262
2.806407567, 2.808891374
2.816407575, 2.818752899
2.826407576, 2.829687828
2.836407575, 2.840594744
2.846407577, 2.850473857
2.856407562, 2.860337949
2.866407569, 2.870137168
2.876407626, 2.880001910
2.886407576, 2.888811460
2.896407614, 2.899716059
2.906407568, 2.909527230
2.916407582, 2.919492537
2.926407577, 2.930358588
2.936407592, 2.940206424
2.946407630, 2.950042568
2.956407583, 2.959893765
2.966407595, 2.970880996
2.976407589, 2.979649476
2.986407576, 2.989451719
2.996407582, 2.999357521
3.006407586, 3.010279920
3.016407576, 3.020116645
3.026407570, 3.029950637
3.036407562, 3.039814070
3.046407610, 3.050753824
3.056407567, 3.060653691
3.066407572, 3.069435771
3.076407573, 3.079187423
3.086407592, 3.089040331
3.096407577, 3.098878871
3.106407591, 3.109855219
3.116407576, 3.120804727
3.126407571, 3.130683703
3.136407584, 3.140546294
3.146407579, 3.150379515
3.156407586, 3.159168855
3.166407583, 3.168962034
3.176407577, 3.178789372
3.186407573, 3.189764201
3.196407575, 3.200759499
3.206407577, 3.210642124
3.216407617, 3.220452002
3.226407577, 3.230299794
3.236407568, 3.239067262
3.246407569, 3.248903814
3.256407572, 3.258789727
3.266407569, 3.269725532
3.276407561, 3.280673088
3.286407563, 3.290535869
3.296407596, 3.300384240
3.306407581, 3.310226211
3.316407614, 3.320097930
3.326407589, 3.328804807
3.336407589, 3.339760592
3.346407583, 3.349607750
3.356407569, 3.359472747
3.366407619, 3.370461747
3.376407565, 3.380351277
3.386407575, 3.390157763
3.396407580, 3.400001704
3.406407569, 3.409861080
3.416407605, 3.419741801
3.426407569, 3.429590786
3.436407571, 3.439468246
3.446407561, 3.449310358
3.456407572, 3.460262568
3.466407612, 3.470095599
3.476407566, 3.479967317
3.486407568, 3.490895755
3.496407602, 3.500763859
3.506407592, 3.510653798
3.516407589, 3.520518862
3.526407576, 3.529209174
3.536407574, 3.539034062
3.546407584, 3.548860045
3.556407574, 3.558743657
3.566407576, 3.570745485
3.576407580, 3.580626015
3.586407584, 3.590528909
3.596407574, 3.600341891
3.606407580, 3.610144755
3.616407581, 3.618872535
3.626407572, 3.628758717
3.636407573, 3.639686445
3.646407567, 3.650664233
3.656407569, 3.660515748
3.666407573, 3.670344631
3.676407573, 3.680221927
3.686407575, 3.690049143
3.696407589, 3.698785370
3.706407593, 3.709748062
3.716407571, 3.719584919
3.726407572, 3.729446690
3.736407620, 3.740381593
3.746407580, 3.750253032
3.756407582, 3.760072815
3.766407569, 3.769930135
3.776407585, 3.780877367
3.786407615, 3.789647896
3.796407575, 3.799498164
3.806407567, 3.809337672
3.816407620, 3.819185328
3.826407567, 3.830110530
3.836407609, 3.839955356
3.846407570, 3.849815969
3.856407617, 3.860777542
3.866407572, 3.870634876
3.876407571, 3.880487726
3.886407572, 3.889245475
3.896407586, 3.899137444
3.906407589, 3.908908007
3.916407586, 3.919893875
3.926407582, 3.930860403
3.936407581, 3.940725560
3.946407579, 3.950634798
3.956407581, 3.960472126
3.966407576, 3.969211998
3.976407570, 3.979052747
3.986407580, 3.988879953
3.996407581, 3.999808186
4.006407569, 4.010761847
4.016407567, 4.020630907
4.026407572, 4.030551189
4.036407580, 4.040346385
4.046407577, 4.050211319
4.056407569, 4.058943168
4.066407572, 4.068793586
4.076407563, 4.079762898
4.086407565, 4.089560911
4.096407602, 4.100546799
4.106407630, 4.110362865
4.116407590, 4.120218128
4.126407586, 4.130094850
4.136407582, 4.138820518
4.146407578, 4.149776791
4.156407614, 4.159615381
4.166407589, 4.169477925
4.176407614, 4.180430266
4.186407581, 4.190297819
4.196407579, 4.200125929
4.206407622, 4.209967297
4.216407578, 4.219819557
4.226407615, 4.229702754
4.236407580, 4.239562061
4.246407579, 4.249434999
4.256407567, 4.260359767
4.266407577, 4.270212454
4.276407615, 4.280065617
4.286407570, 4.289884619
4.296407596, 4.300864336
4.306407580, 4.310714965
4.316407576, 4.319493710
4.326407591, 4.329348399
4.336407578, 4.339140076
4.346407588, 4.350111573
4.356407576, 4.359988638
4.366407578, 4.370926986
4.376407580, 4.380759785
4.386407584, 4.390613722
4.396407583, 4.400504488
4.406407571, 4.410364773
4.416407573, 4.418987909
4.426407569, 4.428858231
4.436407579, 4.438732825
4.446407567, 4.449684410
4.456407567, 4.460692803
4.466407575, 4.470520412
4.476407567, 4.480414997
4.486407577, 4.490260226
4.496407602, 4.498976471
4.506407581, 4.508780945
4.516407617, 4.519757432
4.526412069, 4.529596860
4.536407576, 4.539479356
4.546407613, 4.550405166
4.556407567, 4.560347498
4.566407577, 4.570282065
4.576407596, 4.579970736
4.586407599, 4.588737359
4.596407596, 4.599652931
4.606407596, 4.609506751
4.616407586, 4.619354209
4.626407584, 4.630340385
4.636407582, 4.640204830
4.646407569, 4.650089741
4.656407576, 4.659896860
4.666407569, 4.670839019
4.676407569, 4.680703711
4.686407575, 4.689462542
4.696407567, 4.699328976
4.706407569, 4.709182321
4.716407574, 4.720128806
4.726407576, 4.730015332
4.736407562, 4.739838028
4.746407562, 4.750781939
4.756407568, 4.760702682
4.766407564, 4.769428023
4.776407592, 4.779317809
4.786407584, 4.789156883
4.796407579, 4.800093668
4.806407583, 4.809984061
4.816407585, 4.820906274
4.826407570, 4.830779821
4.836407572, 4.840667153
4.846407577, 4.850485817
4.856407572, 4.859181703
4.866407569, 4.869054618
4.876407573, 4.878888738
4.886407566, 4.889878228
4.896407572, 4.900777142
4.906407565, 4.910633202
4.916407572, 4.920512106
4.926407568, 4.930349585
4.936407568, 4.939101313
4.946407563, 4.948916130
4.956407560, 4.958787512
4.966407556, 4.969760973
4.976407602, 4.980686617
4.986407579, 4.990559493
4.996407579, 5.000401618
5.006407578, 5.010292205
5.016407578, 5.018981162
5.026407624, 5.028836341
5.036407588, 5.039786622
5.046407567, 5.049689072
5.056407580, 5.060625090
5.066411770, 5.070510342
5.076407566, 5.080359333
5.086407562, 5.090217193
5.096407570, 5.100074100
5.106407564, 5.108823831
5.116407560, 5.119747458
5.126407556, 5.129568691
5.136407562, 5.139437306
5.146407567, 5.150439114
5.156407560, 5.160292288
5.166407559, 5.170076823
5.176407592, 5.179991883
5.186407591, 5.189832785
5.196407578, 5.199695597
5.206407579, 5.209556530
5.216407582, 5.219460744
5.226407581, 5.230395898
5.236407576, 5.240276151
5.246407576, 5.250098943
5.256407586, 5.258823378
5.266407576, 5.269817579
5.276407586, 5.279694050
5.286407575, 5.289548318
5.296407569, 5.300540698
5.306407574, 5.310398567
5.316407573, 5.320251051
5.326407580, 5.330085009
5.336407572, 5.339928134
5.346407572, 5.349793972
5.356407580, 5.359706854
5.366407599, 5.369491482
5.376407602, 5.379319533
5.386407589, 5.390308832
5.396407586, 5.400165295
5.406407576, 5.410018640
5.416407582, 5.419874517
5.426407581, 5.430811810
5.436407572, 5.440694917
5.446407574, 5.450540530
5.456407580, 5.459296377
5.466407577, 5.469162553
5.476407566, 5.478977116
5.486407573, 5.489955082
5.496407572, 5.500835684
5.506407599, 5.510806096
5.516407579, 5.520669235
5.526407576, 5.530533988
5.536407576, 5.539264501
5.546407576, 5.549133370
5.556407589, 5.558966290
5.566407585, 5.568810263
5.576407568, 5.579761171
5.586407586, 5.590722420
5.596407576, 5.600551386
5.606407580, 5.610437598
5.616407575, 5.620264920
5.626407569, 5.628966544
5.636407579, 5.638767614
5.646407580, 5.649767062
5.656407572, 5.659643689
5.666407567, 5.670591302
5.676407567, 5.680435599
5.686407565, 5.690286612
5.696407580, 5.700100022
5.706407596, 5.708832961
5.716407583, 5.719823693
5.726407584, 5.729639161
5.736407588, 5.739486333
5.746407576, 5.749353060
5.756407582, 5.760322362
5.766407569, 5.770137141
5.776407572, 5.779988532
5.786407590, 5.789848102
5.796407572, 5.800803364
5.806407567, 5.809544482
5.816407569, 5.819408158
5.826407567, 5.829301419
5.836407580, 5.840274493
5.846407566, 5.850102979
5.856407565, 5.859927037
5.866407568, 5.869801136
5.876407568, 5.880776532
5.886407602, 5.889488721
5.896407570, 5.899433944
5.906407586, 5.910330892
5.916407579, 5.920171980
5.926407588, 5.930004166
5.936407580, 5.939898533
5.946407572, 5.949712280
5.956407578, 5.959566231
5.966407580, 5.969417601
5.976407572, 5.979276073
5.986407583, 5.990246576
5.996407585, 6.000068750
6.006407575, 6.009913071
6.016407570, 6.020869177
6.026407581, 6.030725166
6.036407576, 6.040623074
6.046407577, 6.049360614
6.056407569, 6.059190751
6.066407573, 6.069073210
6.076407572, 6.080002592
6.086407567, 6.089853585
6.096407571, 6.100827568
6.106407592, 6.110712917
6.116407596, 6.120540798
6.126407578, 6.129294550
6.136407579, 6.139132598
6.146407573, 6.148985646
6.156407582, 6.159933797
6.166407581, 6.170922141
6.176407580, 6.180768420
6.186407577, 6.190640178
6.196407572, 6.200553879
6.206407572, 6.209285374
6.216407567, 6.219172972
6.226407577, 6.228973441
6.236407567, 6.239943641
6.246407580, 6.250917523
6.256407569, 6.260754961
6.266407567, 6.270613692
6.276407564, 6.280476798
6.286407568, 6.290325004
6.296407572, 6.299069206
6.306407589, 6.308913006
6.316407589, 6.318766899
6.326407591, 6.329701387
6.336407582, 6.340668731
6.346407583, 6.350534413
6.356407580, 6.360375613
6.366407577, 6.370274503
6.376407571, 6.380051573
6.386407565, 6.388786304
6.396407568, 6.399722501
6.406407572, 6.409580641
6.416407560, 6.419439448
6.426407560, 6.430389729
6.436407560, 6.440303767
6.446407602, 6.450059352
6.456407570, 6.459912269
6.466407568, 6.469773846
6.476407561, 6.480757637
6.486407559, 6.489524824
6.496407560, 6.499420508
6.506407566, 6.509192477
6.516407592, 6.520171937
6.526407583, 6.530017467
6.536407571, 6.539894851
6.546407584, 6.550917066
6.556407582, 6.560746564
6.566407578, 6.569499168
6.576407576, 6.579387248
6.586407582, 6.590349429
6.596407572, 6.600168289
6.606407574, 6.610093710
6.616407589, 6.619883751
6.626407573, 6.630804392
6.636407580, 6.639598374
6.646407574, 6.649447943
6.656407585, 6.659294225
6.666407568, 6.670267767
6.676407569, 6.680107851
6.686407600, 6.689935160
6.696407576, 6.699814378
6.706407580, 6.709664847
6.716407572, 6.719487512
6.726407596, 6.729352495
6.736407583, 6.740323520
6.746407586, 6.750161287
6.756407573, 6.760019827
6.766407568, 6.769861572
6.776407580, 6.780764276
6.786407580, 6.790654002
6.796407577, 6.800548076
6.806407580, 6.809291663
6.816407572, 6.819166213
6.826407572, 6.829013089
6.836407563, 6.839856701
6.846407574, 6.850847603
6.856407558, 6.860713288
6.866407568, 6.870572216
6.876407566, 6.880459279
6.886407564, 6.889178893
6.896407566, 6.898973908
6.906407562, 6.908811313
6.916407572, 6.918700995
6.926407589, 6.929637507
6.936407582, 6.939495007
6.946407572, 6.950446615
6.956407579, 6.960334561
6.966407581, 6.970194185
6.976407588, 6.980041066
6.986407596, 6.989903548
6.996407573, 7.000884995
7.006407569, 7.010751395
7.016407567, 7.019527538
7.026407565, 7.029385023
7.036407571, 7.039278137
7.046407570, 7.050221953
7.056407574, 7.060078150
7.066407576, 7.069917007
7.076407571, 7.080890482
7.086407575, 7.090739410
7.096407562, 7.099534706
7.106407559, 7.109401272
7.116407566, 7.119223811
7.126407619, 7.130170715
7.136407593, 7.140036764
7.146407576, 7.149872778
7.156407612, 7.160801452
7.166407585, 7.170684575
7.176407575, 7.180559997
7.186407572, 7.190374733
7.196407574, 7.199077045
7.206407578, 7.208901755
7.216407573, 7.218755335
7.226407582, 7.229705083
7.236407657, 7.239545802
7.246407578, 7.250481392
7.256407577, 7.260340087
7.266407586, 7.270147927
7.276407599, 7.279987315
7.286407569, 7.289807679
7.296407569, 7.300781335
7.306407571, 7.309536817
7.316407572, 7.319414513
7.326407564, 7.329255339
7.336407589, 7.340235650
7.346407581, 7.350088619
7.356407588, 7.359909439
7.366407581, 7.370890208
7.376407589, 7.380792939
7.386407618, 7.389615435
7.396407599, 7.399350043
7.406407592, 7.409249883
7.416407582, 7.420171824
7.426407578, 7.430038064
7.436407576, 7.439878468
7.446407569, 7.450823006
7.456407586, 7.460684863
7.466407585, 7.469477254
7.476407572, 7.479326733
7.486407607, 7.489170427
7.496407569, 7.500116131
7.506407572, 7.509974695
7.516407562, 7.519791817
7.526407572, 7.530746761
7.536407570, 7.540624906
7.546407592, 7.550501076
7.556407582, 7.559188198
7.566407583, 7.569013323
7.576407576, 7.578878103
7.586407591, 7.589840069
7.596407584, 7.600771112
7.606407576, 7.610639945
7.616407577, 7.620512500
7.626407610, 7.630387909
7.636407581, 7.640292510
7.646407573, 7.649013285
7.656407577, 7.658816140
7.666407580, 7.669758645
7.676407574, 7.679622071
7.686407578, 7.690571256
7.696407568, 7.700420450
7.706407569, 7.710260557
7.716407572, 7.720093333
7.726407565, 7.729924248
7.736407572, 7.739788176
7.746407602, 7.749657202
7.756407583, 7.759518449
7.766407580, 7.769372400
7.776407582, 7.780313156
7.786407589, 7.790133940
7.796407582, 7.799993193
7.806407578, 7.809841630
7.816407574, 7.820826662
7.826407570, 7.829569899
7.836407572, 7.839410484
7.846407579, 7.849265002
7.856407586, 7.859099277
7.866407569, 7.870057277
7.876407575, 7.879919423
7.886407577, 7.890898231
7.896407575, 7.900759485
7.906407567, 7.910633493
7.916407567, 7.919367381
7.926407572, 7.929279580
7.936407565, 7.939105463
7.946407599, 7.950055465
7.956407588, 7.959886879
7.966407582, 7.970852952
7.976407576, 7.980702729
7.986407588, 7.990570827
7.996407572, 8.000424212
8.006407586, 8.010305314
8.016407584, 8.018996903
8.026407588, 8.028833522
8.036407581, 8.038719619
8.046407582, 8.049633157
8.056407578, 8.059549988
8.066407631, 8.070409353
8.076407636, 8.080269850
8.086407580, 8.090110908
8.096407569, 8.099950775
8.106407567, 8.109801544
8.116407569, 8.120730521
8.126407572, 8.129488446
8.136407570, 8.139394596
8.146413122, 8.149219978
8.156407590, 8.160142918
8.166407595, 8.169991119
8.176407579, 8.179850371
8.186407589, 8.190769739
8.196407586, 8.200639581
8.206407576, 8.210511926
8.216407576, 8.220352720
8.226407577, 8.229229099
8.236407589, 8.239012488
8.246407583, 8.248870758
8.256407578, 8.258716668
8.266407567, 8.269650907
8.276407559, 8.280719616
8.286407586, 8.290505516
8.296407569, 8.300321793
8.306407576, 8.310209606
8.316407562, 8.320139981
8.326407564, 8.330024182
8.336407570, 8.338798061
8.346407563, 8.349751685
8.356407561, 8.359626294
8.366407602, 8.369478261
8.376407593, 8.379369594
8.386407591, 8.390342162
8.396407578, 8.400252440
8.406407586, 8.410127573
8.416407591, 8.420013672
8.426407582, 8.429860074
8.436407583, 8.440816537
8.446407577, 8.450774367
8.456407586, 8.459467320
8.466407602, 8.469359021
8.476407593, 8.479203668
8.486407584, 8.489015748
8.496407582, 8.499985792
8.506407579, 8.509857514
8.516407576, 8.520811319
8.526407630, 8.530679385
8.536407592, 8.540561029
8.546407596, 8.550449538
8.556407583, 8.560327674
8.566407589, 8.569090191
8.576407579, 8.578907132
8.586407570, 8.588806798
8.596407572, 8.599784847
8.606407583, 8.609631774
8.616407573, 8.620594590
8.626407569, 8.630484496
8.636407575, 8.640366247
8.646407569, 8.650309073
8.656407567, 8.659000622
8.666407567, 8.668800784
8.676407599, 8.679791991
8.686407584, 8.689629779
8.696407576, 8.700605650
8.706407588, 8.710449081
8.716407586, 8.720309260
8.726407582, 8.730115539
8.736407581, 8.739974312
8.746407572, 8.749822448
8.756407580, 8.760756959
8.766407577, 8.769532201
8.776407567, 8.779363366
8.786407596, 8.789283269
8.796407596, 8.800211412
8.806407586, 8.810120087
8.816407599, 8.819886337
8.826407578, 8.830870130
8.836407574, 8.840723107
8.846407576, 8.850616592
8.856407583, 8.860512046
8.866407575, 8.869269777
8.876407584, 8.879121101
