Linux 3.13.0-100-generic (node-1.cpuoverhead.networklatency-pg0.wisc.cloudlab.us) 	03/25/2017 	_x86_64_	(40 CPU)

09:43:01 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:43:02 PM     all      0.03      0.00      0.23      0.00      0.00     99.75
09:43:03 PM     all      0.03      0.00      0.28      0.00      0.00     99.70
09:43:04 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:05 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:06 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:43:07 PM     all      0.03      0.00      0.18      0.03      0.00     99.77
09:43:08 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:43:09 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:43:10 PM     all      0.03      0.00      0.18      0.00      0.00     99.80
09:43:11 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:43:12 PM     all      0.03      0.00      0.13      0.00      0.00     99.85
09:43:13 PM     all      0.00      0.00      0.20      0.08      0.00     99.72
09:43:14 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:43:15 PM     all      0.03      0.00      0.20      0.00      0.00     99.77
09:43:16 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:17 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:18 PM     all      0.00      0.00      0.15      0.00      0.00     99.85
09:43:19 PM     all      0.00      0.00      0.15      0.03      0.00     99.82
09:43:20 PM     all      0.03      0.00      0.25      0.00      0.00     99.72
09:43:21 PM     all      0.03      0.00      0.25      0.00      0.00     99.72
09:43:22 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:23 PM     all      0.03      0.00      0.28      0.00      0.00     99.70
09:43:24 PM     all      0.00      0.00      0.35      0.00      0.00     99.65
09:43:25 PM     all      0.03      0.00      0.40      0.05      0.00     99.52
09:43:26 PM     all      0.00      0.00      0.38      0.00      0.00     99.62
09:43:27 PM     all      0.00      0.00      0.28      0.00      0.00     99.72
09:43:28 PM     all      0.00      0.00      0.35      0.00      0.00     99.65
09:43:29 PM     all      0.00      0.00      0.35      0.00      0.00     99.65
09:43:30 PM     all      0.00      0.00      0.30      0.00      0.00     99.70
09:43:31 PM     all      0.00      0.00      0.28      0.05      0.00     99.67
09:43:32 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:33 PM     all      0.00      0.00      0.28      0.00      0.00     99.72
09:43:34 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:35 PM     all      0.03      0.00      0.20      0.00      0.00     99.77
09:43:36 PM     all      0.03      0.00      0.23      0.00      0.00     99.75
09:43:37 PM     all      0.03      0.00      0.33      0.03      0.00     99.62
09:43:38 PM     all      0.00      0.00      0.33      0.00      0.00     99.67
09:43:39 PM     all      0.03      0.00      0.30      0.00      0.00     99.67
09:43:40 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:41 PM     all      0.03      0.00      0.33      0.00      0.00     99.65
09:43:42 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:43:43 PM     all      0.03      0.00      0.23      0.05      0.00     99.70
09:43:44 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:45 PM     all      0.03      0.00      0.10      0.00      0.00     99.87
09:43:46 PM     all      0.03      0.00      0.20      0.00      0.00     99.77
09:43:47 PM     all      0.03      0.00      0.28      0.00      0.00     99.70
09:43:48 PM     all      0.03      0.00      0.18      0.00      0.00     99.80
09:43:49 PM     all      0.00      0.00      0.25      0.05      0.00     99.70
09:43:50 PM     all      0.00      0.00      0.38      0.00      0.00     99.62
09:43:51 PM     all      0.00      0.00      0.35      0.00      0.00     99.65
09:43:52 PM     all      0.00      0.00      0.28      0.00      0.00     99.72
09:43:53 PM     all      0.00      0.00      0.28      0.00      0.00     99.72
09:43:54 PM     all      0.03      0.00      0.40      0.00      0.00     99.57
09:43:55 PM     all      0.00      0.00      0.30      0.05      0.00     99.65
09:43:56 PM     all      0.03      0.00      0.33      0.00      0.00     99.65
09:43:57 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:43:58 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:43:59 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:44:00 PM     all      0.00      0.00      0.20      0.00      0.00     99.80
09:44:01 PM     all      0.00      0.00      0.13      0.05      0.00     99.82
09:44:02 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:44:03 PM     all      0.00      0.00      0.15      0.00      0.00     99.85
09:44:04 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
09:44:05 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:44:06 PM     all      0.00      0.00      0.30      0.00      0.00     99.70
09:44:07 PM     all      0.03      0.00      0.28      0.05      0.00     99.65
09:44:08 PM     all      0.00      0.00      0.33      0.00      0.00     99.67
09:44:09 PM     all      0.00      0.00      0.35      0.00      0.00     99.65
09:44:10 PM     all      0.03      0.00      0.33      0.00      0.00     99.65
09:44:11 PM     all      0.00      0.00      0.30      0.00      0.00     99.70
09:44:12 PM     all      0.00      0.00      0.30      0.00      0.00     99.70
09:44:13 PM     all      0.00      0.00      0.35      0.05      0.00     99.60
09:44:14 PM     all      0.05      0.00      0.20      0.00      0.00     99.75
09:44:15 PM     all      0.03      0.00      0.33      0.00      0.00     99.65
09:44:16 PM     all      0.00      0.00      0.28      0.00      0.00     99.72
09:44:17 PM     all      0.00      0.00      0.30      0.00      0.00     99.70
09:44:18 PM     all      0.00      0.00      0.28      0.00      0.00     99.72
09:44:19 PM     all      0.03      0.00      0.23      0.05      0.00     99.70
09:44:20 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:44:21 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:44:22 PM     all      0.03      0.00      0.30      0.00      0.00     99.67
09:44:23 PM     all      0.00      0.00      0.28      0.00      0.00     99.72
09:44:24 PM     all      0.00      0.00      0.20      0.00      0.00     99.80
09:44:25 PM     all      0.00      0.00      0.23      0.05      0.00     99.72
09:44:26 PM     all      0.03      0.00      0.18      0.00      0.00     99.80
09:44:27 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:44:28 PM     all      0.00      0.00      0.30      0.00      0.00     99.70
09:44:29 PM     all      0.00      0.00      0.20      0.00      0.00     99.80
09:44:30 PM     all      0.00      0.00      0.18      0.00      0.00     99.82
09:44:31 PM     all      0.03      0.00      0.25      0.05      0.00     99.67
09:44:32 PM     all      0.00      0.00      0.20      0.00      0.00     99.80
09:44:33 PM     all      0.00      0.00      0.20      0.00      0.00     99.80
09:44:34 PM     all      0.03      0.00      0.20      0.00      0.00     99.77
09:44:35 PM     all      0.00      0.00      0.23      0.00      0.00     99.77
09:44:36 PM     all      0.00      0.00      0.20      0.00      0.00     99.80
09:44:37 PM     all      0.00      0.00      0.23      0.03      0.00     99.75
09:44:38 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
09:44:39 PM     all      0.03      0.00      0.25      0.00      0.00     99.72
09:44:40 PM     all      0.00      0.00      0.15      0.00      0.00     99.85
09:44:41 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
Average:        all      0.01      0.00      0.24      0.01      0.00     99.74
