Linux 4.6.0-htbnomark (node-1.cpuoverhead.networklatency-pg0.wisc.cloudlab.us) 	03/26/2017 	_x86_64_	(40 CPU)

08:12:06 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:12:07 AM     all      0.05      0.00      0.05      0.00      0.00     99.90
08:12:08 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:12:09 AM     all      0.05      0.00      0.18      0.00      0.00     99.77
08:12:10 AM     all      0.05      0.00      0.20      0.00      0.00     99.75
08:12:11 AM     all      0.05      0.00      0.23      0.08      0.00     99.65
08:12:12 AM     all      0.03      0.00      0.23      0.00      0.00     99.75
08:12:13 AM     all      0.05      0.00      0.23      0.00      0.00     99.72
08:12:14 AM     all      0.03      0.00      0.05      0.00      0.00     99.92
08:12:15 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
08:12:16 AM     all      0.03      0.00      0.08      0.08      0.00     99.82
08:12:17 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:12:18 AM     all      0.05      0.00      0.23      0.00      0.00     99.72
08:12:19 AM     all      0.05      0.00      0.18      0.00      0.00     99.77
08:12:20 AM     all      0.05      0.00      0.10      0.00      0.00     99.85
08:12:21 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
08:12:22 AM     all      0.03      0.00      0.10      0.08      0.00     99.80
08:12:23 AM     all      0.00      0.00      0.05      0.00      0.00     99.95
08:12:24 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:12:25 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
08:12:26 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
08:12:27 AM     all      0.05      0.00      0.10      0.08      0.00     99.77
08:12:28 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:12:29 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
08:12:30 AM     all      0.05      0.00      0.20      0.00      0.00     99.75
08:12:31 AM     all      0.03      0.00      0.25      0.00      0.00     99.72
08:12:32 AM     all      0.05      0.00      0.25      0.08      0.00     99.62
08:12:33 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:12:34 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:12:35 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:12:36 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:12:37 AM     all      0.05      0.00      0.10      0.08      0.00     99.77
08:12:38 AM     all      0.05      0.00      0.15      0.00      0.00     99.80
08:12:39 AM     all      0.05      0.00      0.25      0.00      0.00     99.70
08:12:40 AM     all      0.05      0.00      0.30      0.00      0.00     99.65
08:12:41 AM     all      0.03      0.00      0.13      0.00      0.00     99.85
08:12:42 AM     all      0.03      0.00      0.10      0.08      0.00     99.80
08:12:43 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:12:44 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:12:45 AM     all      0.00      0.00      0.05      0.00      0.00     99.95
08:12:46 AM     all      0.05      0.00      0.08      0.00      0.00     99.87
08:12:47 AM     all      0.05      0.00      0.08      0.05      0.00     99.82
08:12:48 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:12:49 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:12:50 AM     all      0.00      0.00      0.05      0.00      0.00     99.95
08:12:51 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:12:52 AM     all      0.03      0.00      0.10      0.10      0.00     99.77
08:12:53 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:12:54 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
08:12:55 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:12:56 AM     all      0.08      0.00      0.10      0.00      0.00     99.82
08:12:57 AM     all      0.03      0.00      0.08      0.05      0.00     99.85
08:12:58 AM     all      0.03      0.00      0.05      0.00      0.00     99.92
08:12:59 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:13:00 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:13:01 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:13:02 AM     all      0.03      0.00      0.10      0.10      0.00     99.77
08:13:03 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:13:04 AM     all      0.03      0.00      0.13      0.00      0.00     99.85
08:13:05 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:13:06 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:13:07 AM     all      0.03      0.00      0.10      0.08      0.00     99.80
08:13:08 AM     all      0.03      0.00      0.13      0.00      0.00     99.85
08:13:09 AM     all      0.03      0.00      0.15      0.00      0.00     99.82
08:13:10 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:13:11 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:13:12 AM     all      0.00      0.00      0.05      0.08      0.00     99.87
08:13:13 AM     all      0.05      0.00      0.13      0.00      0.00     99.82
08:13:14 AM     all      0.03      0.00      0.08      0.00      0.00     99.90
08:13:15 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:13:16 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:13:17 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:13:18 AM     all      0.03      0.00      0.05      0.05      0.00     99.87
08:13:19 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:13:20 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:13:21 AM     all      0.03      0.00      0.13      0.00      0.00     99.85
08:13:22 AM     all      0.05      0.00      0.05      0.00      0.00     99.90
08:13:23 AM     all      0.03      0.00      0.03      0.10      0.00     99.85
