Linux 4.6.0-htbnomark (node-0.timely3.networklatency-pg0.wisc.cloudlab.us) 	03/25/2017 	_x86_64_	(32 CPU)

10:48:57 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:48:58 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:48:59 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:00 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:01 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:49:02 PM     all      0.00      0.00      0.09      0.13      0.00     99.78
10:49:03 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:49:04 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:05 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:06 PM     all      0.03      0.00      0.16      0.00      0.00     99.81
10:49:07 PM     all      0.00      0.00      0.16      0.06      0.00     99.78
10:49:08 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:49:09 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
10:49:10 PM     all      0.00      0.00      0.16      0.00      0.00     99.84
10:49:11 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:49:12 PM     all      0.00      0.00      0.13      0.09      0.00     99.78
10:49:13 PM     all      0.03      0.00      0.16      0.00      0.00     99.81
10:49:14 PM     all      0.00      0.00      0.16      0.00      0.00     99.84
10:49:15 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:16 PM     all      0.03      0.00      0.09      0.00      0.00     99.87
10:49:17 PM     all      0.00      0.00      0.13      0.09      0.00     99.78
10:49:18 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:19 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:20 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:49:21 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:49:22 PM     all      0.00      0.00      0.22      0.13      0.00     99.65
10:49:23 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:49:24 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:25 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:26 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:27 PM     all      0.00      0.00      0.09      0.09      0.00     99.81
10:49:28 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:29 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:30 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:31 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:32 PM     all      0.00      0.00      0.06      0.09      0.00     99.84
10:49:33 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:49:34 PM     all      0.00      0.00      0.22      0.00      0.00     99.78
10:49:35 PM     all      0.03      0.00      0.09      0.00      0.00     99.87
10:49:36 PM     all      0.00      0.00      0.16      0.00      0.00     99.84
10:49:37 PM     all      0.00      0.00      0.16      0.06      0.00     99.78
10:49:38 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:39 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:40 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:41 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:42 PM     all      0.00      0.00      0.09      0.06      0.00     99.84
10:49:43 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
10:49:44 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:45 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:49:46 PM     all      0.06      0.00      0.06      0.00      0.00     99.87
10:49:47 PM     all      0.03      0.00      0.13      0.03      0.00     99.81
10:49:48 PM     all      0.00      0.00      0.16      0.00      0.00     99.84
10:49:49 PM     all      0.09      0.00      0.19      0.00      0.00     99.72
10:49:50 PM     all      0.00      0.00      0.31      0.00      0.00     99.69
10:49:51 PM     all      0.06      0.00      0.25      0.00      0.00     99.69
10:49:52 PM     all      0.06      0.00      0.06      0.13      0.00     99.75
10:49:53 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:54 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:55 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:49:56 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:57 PM     all      0.00      0.00      0.09      0.09      0.00     99.81
10:49:58 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:49:59 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:50:00 PM     all      0.03      0.00      0.09      0.00      0.00     99.87
10:50:01 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:50:02 PM     all      0.00      0.00      0.06      0.06      0.00     99.87
10:50:03 PM     all      0.00      0.00      0.22      0.00      0.00     99.78
10:50:04 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:50:05 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:50:06 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:50:07 PM     all      0.00      0.00      0.00      0.06      0.00     99.94
10:50:08 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:50:09 PM     all      0.00      0.00      0.16      0.00      0.00     99.84
10:50:10 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:50:11 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:50:12 PM     all      0.00      0.00      0.16      0.09      0.00     99.75
10:50:13 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:50:14 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:50:15 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:50:16 PM     all      0.03      0.00      0.22      0.00      0.00     99.75
10:50:17 PM     all      0.00      0.00      0.03      0.09      0.00     99.87
10:50:18 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
10:50:19 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:50:20 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:50:21 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:50:22 PM     all      0.00      0.00      0.09      0.06      0.00     99.84
10:50:23 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
10:50:24 PM     all      0.00      0.00      0.16      0.00      0.00     99.84
10:50:25 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:50:26 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
