------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.991 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat=303.249 (std-dev=29.432)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  396.317
sockperf: ---> percentile 99.999 =  396.317
sockperf: ---> percentile 99.990 =  396.317
sockperf: ---> percentile 99.900 =  393.745
sockperf: ---> percentile 99.000 =  374.110
sockperf: ---> percentile 90.000 =  342.536
sockperf: ---> percentile 75.000 =  322.595
sockperf: ---> percentile 50.000 =  301.813
sockperf: ---> percentile 25.000 =  282.342
sockperf: ---> <MIN> observation =  218.348
------------------------------
txTime, rxTime
2.062340361, 2.062935586
2.072340360, 2.072873743
2.082340364, 2.082941776
2.092340364, 2.092915539
2.102340361, 2.102893808
2.112340355, 2.112939542
2.122340361, 2.122923999
2.132340364, 2.132894860
2.142340363, 2.142923954
2.152340362, 2.152971947
2.162340360, 2.162928702
2.172340363, 2.172950242
2.182340363, 2.182899711
2.192340356, 2.192852586
2.202340356, 2.202883691
2.212340359, 2.212908264
2.222340359, 2.222901066
2.232340359, 2.232877975
2.242340361, 2.242927566
2.252340366, 2.252974729
2.262340363, 2.262905448
2.272340363, 2.272939728
2.282340356, 2.282920964
2.292340359, 2.292979289
2.302340359, 2.302880955
2.312340360, 2.312925149
2.322340355, 2.322978855
2.332340363, 2.332952321
2.342340356, 2.342934689
2.352340360, 2.352914009
2.362340364, 2.362916822
2.372340361, 2.373038661
2.382340365, 2.382953121
2.392340368, 2.392933162
2.402340362, 2.402951048
2.412345536, 2.412885267
2.422340367, 2.422963212
2.432340359, 2.432864291
2.442340363, 2.443007727
2.452340368, 2.452777065
2.462340367, 2.462964168
2.472340369, 2.472937860
2.482340371, 2.482904301
2.492340361, 2.493018100
2.502340363, 2.502939753
2.512340358, 2.512873958
2.522340359, 2.522923812
2.532340367, 2.532964658
2.542340362, 2.542971730
2.552340366, 2.552857321
2.562340360, 2.562843286
2.572340364, 2.572919859
2.582340364, 2.582832382
2.592340365, 2.592900065
2.602340367, 2.602953910
2.612340362, 2.612895747
2.622340364, 2.622925115
2.632340362, 2.632906686
2.642340361, 2.642910175
2.652340370, 2.652939128
2.662340363, 2.662979766
2.672340367, 2.672864171
2.682340367, 2.682867288
2.692340415, 2.692895312
2.702340362, 2.702875058
2.712340369, 2.712893507
2.722340362, 2.722846780
2.732340361, 2.732941722
2.742340360, 2.742954335
2.752340368, 2.752939236
2.762340356, 2.762960130
2.772340369, 2.772840562
2.782340367, 2.782916630
2.792340365, 2.792929122
2.802340369, 2.802938900
2.812340364, 2.812874240
2.822340362, 2.822870071
2.832340363, 2.833016233
2.842340366, 2.842968878
2.852340369, 2.852905429
2.862340359, 2.862896112
2.872340357, 2.873043140
2.882340362, 2.882957125
2.892340365, 2.893014638
2.902340398, 2.902942529
2.912340360, 2.913030613
2.922340369, 2.922917752
2.932340364, 2.932918051
2.942340357, 2.942852863
2.952340363, 2.952868967
2.962340354, 2.962876394
2.972340360, 2.972940573
2.982340363, 2.982942959
2.992340368, 2.992873166
3.002340362, 3.002919674
3.012340369, 3.012949975
3.022340366, 3.022984821
3.032340362, 3.032960869
3.042340365, 3.042960234
3.052340359, 3.052979885
3.062340360, 3.062854128
3.072340365, 3.072938965
3.082340358, 3.082901638
3.092340360, 3.092926493
3.102340360, 3.102990433
3.112340359, 3.112970392
3.122340361, 3.123015879
3.132340370, 3.132904090
3.142340359, 3.143053610
3.152340359, 3.152969358
3.162340356, 3.162975474
3.172340357, 3.172935978
3.182340364, 3.182872175
3.192340362, 3.192834356
3.202340367, 3.202949121
3.212340360, 3.212943984
3.222340365, 3.222955108
3.232340354, 3.233021304
3.242340362, 3.242921497
3.252340356, 3.252950834
3.262340362, 3.262985487
3.272340365, 3.272921610
3.282340367, 3.282942993
3.292340363, 3.292937039
3.302340362, 3.302949904
3.312340367, 3.312967739
3.322340363, 3.322904207
3.332340355, 3.332903824
3.342340368, 3.342938001
3.352340362, 3.353005872
3.362340359, 3.363007382
3.372340363, 3.373059080
3.382340359, 3.382856260
3.392340362, 3.392946689
3.402340359, 3.403000175
3.412340364, 3.412926379
3.422340365, 3.422935725
3.432340356, 3.433096207
3.442340357, 3.442955041
3.452340357, 3.452969381
3.462340367, 3.462878948
3.472340358, 3.472942628
3.482340362, 3.482878131
3.492340362, 3.492860426
3.502340361, 3.502983892
3.512340360, 3.513070246
3.522340356, 3.522957425
3.532340358, 3.532909651
3.542340359, 3.542967527
3.552340358, 3.553014623
3.562340359, 3.562986301
3.572340360, 3.572991007
3.582340369, 3.582948763
3.592340363, 3.592876316
3.602340365, 3.602938967
3.612340362, 3.612940173
3.622340364, 3.622843199
3.632340374, 3.632949953
3.642340362, 3.642979558
3.652340357, 3.652894765
3.662340364, 3.662827152
3.672340377, 3.672903566
3.682340363, 3.682973791
3.692340359, 3.692966087
3.702340364, 3.703007785
3.712340361, 3.712954687
3.722340356, 3.722870601
3.732340359, 3.732891953
3.742340357, 3.743007277
3.752340361, 3.752844140
3.762340359, 3.762986268
3.772340361, 3.773045076
3.782340360, 3.782904975
3.792340365, 3.792974165
3.802340363, 3.802930590
3.812340355, 3.812968748
3.822340359, 3.822993484
3.832340442, 3.832998207
3.842340362, 3.842901747
3.852340583, 3.853025657
3.862340366, 3.862919834
3.872340364, 3.872921571
3.882340363, 3.882997296
3.892340362, 3.893090669
3.902340369, 3.903049677
3.912340360, 3.913010451
3.922340361, 3.922898760
3.932340359, 3.932961908
3.942340363, 3.942927030
3.952340403, 3.953003947
3.962340366, 3.962893321
3.972340365, 3.972957693
3.982340358, 3.982867982
3.992340365, 3.992863234
4.002340356, 4.002880841
4.012340357, 4.012955603
4.022340360, 4.022950504
4.032340367, 4.032902436
4.042340407, 4.042897306
4.052340364, 4.053001930
4.062340367, 4.062960239
4.072340362, 4.072891475
4.082340361, 4.082881400
4.092340362, 4.092996017
4.102340364, 4.103015867
4.112340364, 4.112969073
4.122340359, 4.123020172
4.132342488, 4.132999128
4.142340367, 4.142998693
4.152340364, 4.152947016
4.162340362, 4.162979205
4.172340367, 4.172913244
4.182340360, 4.182894376
4.192340359, 4.192946177
4.202340356, 4.202970084
4.212340379, 4.212906861
4.222340359, 4.222941208
4.232340367, 4.232943995
4.242340359, 4.242838247
4.252340358, 4.253021045
4.262340394, 4.262921698
4.272340362, 4.272964307
4.282340363, 4.282933446
4.292340392, 4.293011125
4.302340359, 4.302926734
4.312340358, 4.313031820
4.322340360, 4.322943538
4.332340360, 4.332940126
4.342340359, 4.342959954
4.352340409, 4.352943073
4.362340363, 4.363005872
4.372340358, 4.372917961
4.382340366, 4.383059187
4.392340392, 4.393042756
4.402342339, 4.402966049
4.412340365, 4.412901463
4.422340403, 4.422911249
4.432340366, 4.432905965
4.442340360, 4.442906995
4.452340367, 4.452954157
4.462340361, 4.462945756
4.472340366, 4.472917162
4.482340402, 4.482996929
4.492340356, 4.492838347
4.502340357, 4.502958415
4.512340364, 4.512895776
4.522340395, 4.522882001
4.532340365, 4.533022922
4.542340363, 4.542930053
4.552340363, 4.552960705
4.562340402, 4.562901365
4.572349158, 4.572914762
4.582340359, 4.582995783
4.592340367, 4.592879781
4.602340359, 4.602935426
4.612340367, 4.612895281
4.622340395, 4.622945041
4.632340369, 4.632908190
4.642340364, 4.642934458
4.652340366, 4.652835082
4.662340367, 4.662974808
4.672340363, 4.672954806
4.682340369, 4.682927391
4.692340373, 4.692938074
4.702340366, 4.703005509
4.712340364, 4.712903290
4.722340363, 4.722872659
4.732340366, 4.732933416
4.742340365, 4.742851142
4.752340398, 4.752973401
4.762340362, 4.762947063
4.772340366, 4.772931188
4.782340365, 4.782952304
4.792340367, 4.792912399
4.802340364, 4.802932595
4.812340362, 4.812852531
4.822340361, 4.822875552
4.832340361, 4.832825714
4.842340369, 4.842867650
4.852340363, 4.852886995
4.862340364, 4.862880681
4.872340362, 4.873001275
4.882340357, 4.883000350
4.892340365, 4.892947831
4.902340364, 4.902940239
4.912340366, 4.912928893
4.922340364, 4.922929376
4.932340365, 4.932937093
4.942340361, 4.942892522
4.952340362, 4.952973726
4.962340363, 4.962937159
4.972340363, 4.972918690
4.982340362, 4.982867385
4.992340362, 4.992908499
5.002340364, 5.002896774
5.012340359, 5.012903122
5.022340365, 5.022911411
5.032340359, 5.032946125
5.042340364, 5.042828228
5.052340367, 5.052942365
5.062340359, 5.062892363
5.072340366, 5.072940018
5.082340358, 5.082998460
5.092340361, 5.092947834
5.102340360, 5.102929671
5.112340363, 5.112893370
5.122340361, 5.122949609
5.132340364, 5.132889940
5.142340360, 5.142863025
5.152340362, 5.152921665
5.162340356, 5.162881802
5.172340360, 5.172953858
5.182340358, 5.182871716
5.192340364, 5.192999064
5.202340365, 5.202910870
5.212340411, 5.212937661
5.222340365, 5.222916940
5.232340362, 5.232901066
5.242340359, 5.242904635
5.252340414, 5.253044307
5.262340356, 5.262951473
5.272340359, 5.272875023
5.282340361, 5.282950656
5.292340367, 5.292882606
5.302340362, 5.302878842
5.312340369, 5.312947772
5.322340363, 5.322921439
5.332340366, 5.332920294
5.342340361, 5.342931668
5.352340360, 5.352924603
5.362340358, 5.362992643
5.372340365, 5.372894754
5.382340363, 5.382935959
5.392340362, 5.392996546
5.402340360, 5.402893463
5.412340363, 5.412954478
5.422340361, 5.422823916
5.432340361, 5.432845491
5.442340363, 5.442868516
5.452340354, 5.452920779
5.462340357, 5.462903058
5.472340362, 5.472862506
5.482340364, 5.482900024
5.492340364, 5.492956107
5.502340364, 5.502938188
5.512340361, 5.512880995
5.522340360, 5.522841978
5.532340407, 5.532891289
5.542340356, 5.543014869
5.552340357, 5.552825369
5.562340358, 5.562964277
5.572340359, 5.572920500
5.582340362, 5.582953022
5.592340365, 5.592872469
5.602340358, 5.603001815
5.612340365, 5.612914962
5.622340364, 5.622870890
5.632340362, 5.632818227
5.642340364, 5.642900963
5.652340360, 5.652927308
5.662340356, 5.662968574
5.672340399, 5.672874236
5.682340358, 5.682846558
5.692340362, 5.692892080
5.702340362, 5.702903331
5.712340359, 5.712901338
5.722340361, 5.722915436
5.732340365, 5.732959847
5.742340355, 5.742898168
5.752340361, 5.752932976
5.762340359, 5.762878495
5.772340364, 5.772955246
5.782340359, 5.782859670
5.792340365, 5.792949527
5.802340398, 5.802903260
5.812340358, 5.812806765
5.822340360, 5.822888938
5.832340362, 5.832837859
5.842340369, 5.842964164
5.852340355, 5.852791070
5.862341770, 5.862897592
5.872340361, 5.872890821
5.882340365, 5.882902780
5.892340359, 5.892991010
5.902340364, 5.902948623
5.912340360, 5.912924714
5.922340364, 5.922949734
5.932340361, 5.932882063
5.942340361, 5.942926796
5.952340360, 5.952914577
5.962340367, 5.962994304
5.972340360, 5.972852513
5.982340367, 5.982919740
5.992340363, 5.992899391
6.002340375, 6.002826049
6.012340368, 6.012865901
6.022340356, 6.022949508
6.032340389, 6.032981712
6.042340365, 6.042958129
6.052340363, 6.052889356
6.062340362, 6.062820140
6.072340362, 6.072980081
6.082340366, 6.082897314
6.092340365, 6.092875452
6.102340365, 6.102837193
6.112340361, 6.112941664
6.122340365, 6.122866529
6.132340359, 6.132916438
6.142340364, 6.142863825
6.152340364, 6.152805276
6.162340369, 6.162975926
6.172340358, 6.173046520
6.182340364, 6.182889834
6.192340359, 6.193004707
6.202340366, 6.202924963
6.212340366, 6.213072534
6.222340358, 6.222976992
6.232340357, 6.232932065
6.242340360, 6.242953405
6.252340367, 6.252967415
6.262342312, 6.262894330
6.272340379, 6.272908648
6.282340362, 6.282877477
6.292340359, 6.292960690
6.302340369, 6.302973035
6.312340364, 6.312960427
6.322340357, 6.323019705
6.332340364, 6.332996574
6.342340404, 6.342917761
6.352340359, 6.352887964
6.362340364, 6.362975357
6.372340367, 6.372978969
6.382340364, 6.382873161
6.392340359, 6.392963483
6.402340365, 6.402976576
6.412340364, 6.412973567
6.422340357, 6.422867211
6.432340359, 6.432862109
6.442340395, 6.443012403
6.452348686, 6.452928503
6.462340374, 6.462993388
6.472340368, 6.472973784
6.482340366, 6.482836845
6.492340365, 6.492917121
6.502340367, 6.502956805
6.512340365, 6.512898267
6.522340393, 6.522997894
6.532340367, 6.532880537
6.542340369, 6.542888280
6.552340397, 6.552893112
6.562340363, 6.563026003
6.572340364, 6.572843048
6.582340365, 6.583046344
6.592340368, 6.592857365
6.602340362, 6.602945702
6.612340359, 6.612924002
6.622340358, 6.622966187
6.632340365, 6.633048689
6.642340367, 6.642918210
6.652340359, 6.652954752
6.662340362, 6.662903269
6.672340364, 6.672886918
6.682340364, 6.682962628
6.692340364, 6.692883509
6.702340359, 6.702960737
6.712340393, 6.712926785
6.722340365, 6.723003604
6.732340369, 6.733010389
6.742340364, 6.742990639
6.752340361, 6.752935790
6.762340360, 6.762910967
6.772340359, 6.772898162
6.782340361, 6.783080731
6.792340355, 6.792889544
6.802340354, 6.803007739
6.812340360, 6.812932406
6.822340358, 6.822875208
6.832340359, 6.832907424
6.842340361, 6.842967053
6.852340364, 6.852973421
6.862340361, 6.862967220
6.872340367, 6.873034824
6.882340360, 6.882819656
6.892340358, 6.892917873
