------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 65.187 (std-dev=13.980)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  124.848
sockperf: ---> percentile 99.999 =  124.848
sockperf: ---> percentile 99.990 =  124.848
sockperf: ---> percentile 99.900 =  122.668
sockperf: ---> percentile 99.000 =  109.915
sockperf: ---> percentile 90.000 =   87.712
sockperf: ---> percentile 75.000 =   70.036
sockperf: ---> percentile 50.000 =   60.513
sockperf: ---> percentile 25.000 =   55.847
sockperf: ---> <MIN> observation =   29.429
------------------------------
txTime, rxTime
2.064061061, 2.064186746
2.074061087, 2.074155355
2.084061054, 2.084191554
2.094061053, 2.094213276
2.104061099, 2.104233801
2.114061116, 2.114182630
2.124061067, 2.124161265
2.134061068, 2.134185808
2.144061065, 2.144194229
2.154061056, 2.154268733
2.164061109, 2.164141299
2.174061053, 2.174182944
2.184061058, 2.184186541
2.194061055, 2.194251780
2.204061085, 2.204306422
2.214061094, 2.214147064
2.224061086, 2.224196109
2.234061072, 2.234188019
2.244061069, 2.244184769
2.254061071, 2.254186565
2.264061063, 2.264173772
2.274061062, 2.274139826
2.284061059, 2.284141145
2.294061065, 2.294136700
2.304061051, 2.304179947
2.314061049, 2.314200387
2.324061089, 2.324170646
2.334061100, 2.334152529
2.344061076, 2.344152092
2.354061064, 2.354176278
2.364061075, 2.364180552
2.374061069, 2.374186051
2.384061053, 2.384171832
2.394061090, 2.394159493
2.404061088, 2.404187055
2.414061082, 2.414223142
2.424061103, 2.424207835
2.434061115, 2.434162407
2.444061072, 2.444145352
