------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.980 sec; SentMessages=999; ReceivedMessages=999
sockperf: [2;35m====> avg-lat= 65.982 (std-dev=11.774)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 999 observations[0m; each percentile contains 9.99 observations
sockperf: ---> <MAX> observation =  127.002
sockperf: ---> percentile 99.999 =  127.002
sockperf: ---> percentile 99.990 =  127.002
sockperf: ---> percentile 99.900 =  119.960
sockperf: ---> percentile 99.000 =  106.947
sockperf: ---> percentile 90.000 =   78.504
sockperf: ---> percentile 75.000 =   69.771
sockperf: ---> percentile 50.000 =   63.559
sockperf: ---> percentile 25.000 =   59.783
sockperf: ---> <MIN> observation =   29.963
------------------------------
txTime, rxTime
2.064196547, 2.064322598
2.074196540, 2.074319134
2.084196540, 2.084316136
2.094196533, 2.094342453
2.104196543, 2.104349072
2.114196565, 2.114355356
2.124196562, 2.124331008
2.134196560, 2.134291808
2.144196539, 2.144327656
2.154196536, 2.154315709
2.164196540, 2.164326440
2.174196533, 2.174315699
2.184196574, 2.184348476
2.194196556, 2.194288755
2.204196530, 2.204314796
2.214196550, 2.214336578
2.224196523, 2.224343058
2.234196548, 2.234333921
2.244196528, 2.244321938
2.254196523, 2.254282648
2.264196533, 2.264307136
2.274196519, 2.274316924
2.284196534, 2.284316841
2.294196525, 2.294325416
2.304196534, 2.304360609
2.314196574, 2.314341672
2.324196580, 2.324324755
2.334196552, 2.334334733
2.344196559, 2.344348664
2.354196574, 2.354323381
2.364196536, 2.364317709
2.374196570, 2.374318857
2.384196541, 2.384317580
2.394196536, 2.394331570
2.404196528, 2.404314846
2.414196534, 2.414330358
2.424196530, 2.424295477
2.434196558, 2.434325995
2.444196526, 2.444324060
2.454196523, 2.454310623
2.464196526, 2.464332998
2.474196547, 2.474346212
2.484196574, 2.484276383
2.494196543, 2.494317112
2.504196520, 2.504327951
2.514196560, 2.514340589
2.524196574, 2.524357875
2.534196555, 2.534382456
2.544196548, 2.544300395
2.554196548, 2.554323941
2.564196543, 2.564329607
2.574196535, 2.574394937
2.584196573, 2.584380736
2.594196570, 2.594347994
2.604196541, 2.604327180
2.614196533, 2.614353541
2.624196534, 2.624333307
2.634196523, 2.634349162
2.644196527, 2.644320090
2.654196525, 2.654323190
2.664196528, 2.664323456
2.674196528, 2.674357139
2.684196524, 2.684320076
2.694196537, 2.694335699
2.704196531, 2.704349791
2.714196522, 2.714345581
2.724196559, 2.724352683
2.734196550, 2.734343694
2.744196548, 2.744323052
2.754196544, 2.754322170
2.764196551, 2.764379510
2.774196543, 2.774327781
2.784196536, 2.784322238
2.794196542, 2.794337260
2.804196535, 2.804324111
2.814196533, 2.814335344
2.824196530, 2.824325558
2.834196535, 2.834310312
2.844196529, 2.844315826
2.854196522, 2.854328554
2.864196524, 2.864325443
2.874196527, 2.874375225
2.884196526, 2.884309474
2.894196525, 2.894315075
2.904196520, 2.904317810
2.914196522, 2.914328973
2.924196565, 2.924348189
2.934196561, 2.934385963
2.944196556, 2.944326496
2.954196548, 2.954323087
2.964196545, 2.964372783
2.974196540, 2.974334181
2.984196532, 2.984321099
2.994196540, 2.994369329
3.004196529, 3.004322959
3.014196531, 3.014282778
3.024196533, 3.024316110
3.034196524, 3.034324801
3.044196525, 3.044352717
3.054196527, 3.054366321
3.064196522, 3.064277973
3.074196523, 3.074326224
3.084196543, 3.084336631
3.094196523, 3.094336356
3.104196519, 3.104319814
3.114196521, 3.114347240
3.124196574, 3.124343651
3.134196587, 3.134330287
3.144196561, 3.144322912
3.154196552, 3.154333110
3.164196553, 3.164332139
3.174196539, 3.174320101
3.184196542, 3.184320044
