------------------------------
test was performed using the following parameters: --mps=100 --burst=1 --reply-every=1 --msg-size=14 --time=10
------------------------------
sockperf: [Total Run] RunTime=10.100 sec; SentMessages=1011; ReceivedMessages=1010
sockperf: ========= Printing statistics for Server No: 0
sockperf: [Valid Duration] RunTime=9.990 sec; SentMessages=1000; ReceivedMessages=1000
sockperf: [2;35m====> avg-lat= 67.916 (std-dev=10.416)[0m
sockperf: # dropped messages = 0; # duplicated messages = 0; # out-of-order messages = 0
sockperf: [2;35mTotal 1000 observations[0m; each percentile contains 10.00 observations
sockperf: ---> <MAX> observation =  125.501
sockperf: ---> percentile 99.999 =  125.501
sockperf: ---> percentile 99.990 =  125.501
sockperf: ---> percentile 99.900 =  120.378
sockperf: ---> percentile 99.000 =  104.500
sockperf: ---> percentile 90.000 =   81.481
sockperf: ---> percentile 75.000 =   72.583
sockperf: ---> percentile 50.000 =   65.422
sockperf: ---> percentile 25.000 =   60.492
sockperf: ---> <MIN> observation =   41.674
------------------------------
txTime, rxTime
2.064038642, 2.064192861
2.074038641, 2.074194244
2.084038630, 2.084196864
2.094038627, 2.094180930
2.104038622, 2.104189589
2.114038618, 2.114165397
2.124038613, 2.124164333
2.134038605, 2.134155247
2.144038603, 2.144153154
2.154038644, 2.154168361
2.164038601, 2.164162037
2.174038604, 2.174198863
2.184038600, 2.184186058
2.194038636, 2.194218967
2.204038653, 2.204173946
2.214038603, 2.214161302
2.224038599, 2.224173657
2.234038597, 2.234174224
2.244038600, 2.244196767
2.254038599, 2.254121948
2.264038600, 2.264160232
2.274038599, 2.274195023
2.284038634, 2.284186332
2.294038660, 2.294207609
2.304038626, 2.304220539
2.314038624, 2.314156757
2.324038614, 2.324161261
2.334038617, 2.334167856
2.344038653, 2.344194188
2.354038611, 2.354184609
2.364038604, 2.364237125
2.374038627, 2.374140472
2.384038684, 2.384201865
2.394038634, 2.394176234
2.404038635, 2.404210644
2.414038644, 2.414204379
2.424038627, 2.424193469
2.434038621, 2.434130065
2.444038623, 2.444174796
2.454038612, 2.454160294
2.464038614, 2.464255260
2.474038673, 2.474211899
2.484038613, 2.484185676
2.494038609, 2.494152218
2.504038607, 2.504176322
2.514038604, 2.514154385
2.524038605, 2.524169519
2.534038604, 2.534158067
2.544038597, 2.544217724
2.554038606, 2.554151442
2.564038603, 2.564156508
2.574038600, 2.574153672
2.584038594, 2.584195342
2.594038668, 2.594184493
2.604038665, 2.604194756
2.614038662, 2.614169430
2.624038627, 2.624129280
2.634038646, 2.634173309
2.644038646, 2.644187905
2.654038652, 2.654177146
2.664038652, 2.664172557
2.674038672, 2.674162463
2.684038639, 2.684235719
2.694038630, 2.694214139
2.704038634, 2.704192977
2.714038628, 2.714156611
2.724038596, 2.724177634
2.734038624, 2.734151602
2.744038620, 2.744162663
2.754038615, 2.754158297
2.764038681, 2.764177331
2.774038617, 2.774176220
2.784038619, 2.784200880
2.794038642, 2.794173659
2.804038633, 2.804155794
2.814038651, 2.814170968
2.824038627, 2.824176850
2.834038615, 2.834199611
2.844038618, 2.844142132
2.854038611, 2.854150851
2.864038637, 2.864168516
2.874038610, 2.874160897
2.884038637, 2.884175071
2.894038598, 2.894188549
2.904038611, 2.904211601
2.914038616, 2.914191673
2.924038604, 2.924170498
2.934038622, 2.934194300
2.944038592, 2.944156003
2.954038600, 2.954174810
2.964038594, 2.964157003
2.974038598, 2.974155555
2.984038593, 2.984166617
2.994038594, 2.994200141
3.004038662, 3.004202234
3.014038623, 3.014175425
3.024038630, 3.024162604
3.034038642, 3.034166640
3.044038619, 3.044158830
3.054038641, 3.054183082
3.064038614, 3.064169387
3.074038611, 3.074178505
3.084038647, 3.084158702
3.094038607, 3.094151237
3.104038635, 3.104161880
3.114038604, 3.114156848
3.124038599, 3.124152944
3.134038621, 3.134205768
3.144038596, 3.144150760
3.154038594, 3.154161952
3.164038592, 3.164151874
3.174038600, 3.174214369
3.184038615, 3.184181979
3.194038592, 3.194216531
3.204038651, 3.204176732
3.214038640, 3.214170670
3.224038619, 3.224168418
3.234038621, 3.234164150
3.244038619, 3.244173650
3.254038626, 3.254172437
3.264038614, 3.264152854
3.274038618, 3.274154772
3.284038616, 3.284164903
3.294038602, 3.294183467
3.304038607, 3.304171974
3.314038600, 3.314180663
3.324038604, 3.324182640
3.334038601, 3.334165418
3.344038603, 3.344159063
3.354038599, 3.354173852
3.364038597, 3.364171981
3.374038595, 3.374184087
3.384038597, 3.384160672
3.394038639, 3.394188281
3.404038629, 3.404163973
3.414038631, 3.414179254
3.424038618, 3.424159978
3.434038622, 3.434246998
3.444038614, 3.444161147
3.454038611, 3.454159532
3.464038611, 3.464160268
3.474038607, 3.474154430
3.484038603, 3.484171532
3.494038604, 3.494192293
3.504038620, 3.504154410
3.514038611, 3.514161308
3.524038592, 3.524160063
3.534038597, 3.534178537
3.544038596, 3.544159546
3.554038604, 3.554170262
3.564038624, 3.564194006
3.574038635, 3.574200887
3.584038636, 3.584174315
3.594038631, 3.594218337
3.604038621, 3.604185244
3.614038624, 3.614158398
3.624038600, 3.624184747
3.634038621, 3.634161845
3.644038614, 3.644173442
3.654038622, 3.654193594
3.664038675, 3.664164368
3.674038619, 3.674156070
3.684038622, 3.684164323
3.694038622, 3.694164601
3.704038616, 3.704159362
3.714038611, 3.714222819
3.724038667, 3.724198926
3.734038652, 3.734163323
3.744038617, 3.744155781
3.754038593, 3.754157711
3.764038673, 3.764174892
3.774038619, 3.774189925
3.784038619, 3.784171716
3.794038624, 3.794149562
3.804038619, 3.804190221
3.814038634, 3.814187073
3.824038636, 3.824194638
3.834038622, 3.834175584
3.844038624, 3.844187231
3.854038617, 3.854153578
3.864038611, 3.864183472
3.874038609, 3.874159886
3.884038605, 3.884155796
3.894038634, 3.894177677
3.904038599, 3.904182063
3.914038623, 3.914155179
3.924038604, 3.924158651
3.934038594, 3.934174209
3.944038606, 3.944180434
3.954038597, 3.954156143
3.964038595, 3.964181202
3.974038596, 3.974160557
3.984038602, 3.984249673
3.994038627, 3.994217825
4.004038603, 4.004190906
4.014038623, 4.014207588
4.024043098, 4.024224326
4.034038627, 4.034168443
4.044038651, 4.044166589
4.054038613, 4.054164038
4.064038654, 4.064173888
4.074038609, 4.074178089
4.084038643, 4.084164910
4.094053901, 4.094168680
4.104038608, 4.104152187
4.114038637, 4.114155737
4.124038598, 4.124163746
4.134038627, 4.134174812
4.144038609, 4.144152926
4.154038602, 4.154204830
4.164038625, 4.164184041
4.174038595, 4.174163013
