Linux 4.6.0-htbnomark (node-1.cpuoverhead.networklatency-pg0.wisc.cloudlab.us) 	03/26/2017 	_x86_64_	(40 CPU)

08:04:16 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
08:04:17 AM     all      0.00      0.00      0.05      0.00      0.00     99.95
08:04:18 AM     all      0.00      0.00      0.05      0.00      0.00     99.95
08:04:19 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:04:20 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:04:21 AM     all      0.00      0.00      0.15      0.08      0.00     99.77
08:04:22 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:04:23 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:04:24 AM     all      0.00      0.00      0.15      0.00      0.00     99.85
08:04:25 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:04:26 AM     all      0.00      0.00      0.13      0.10      0.00     99.77
08:04:27 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:04:28 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:04:29 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:04:30 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:04:31 AM     all      0.00      0.00      0.13      0.05      0.00     99.82
08:04:32 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:04:33 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:04:34 AM     all      0.03      0.00      0.13      0.00      0.00     99.85
08:04:35 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:04:36 AM     all      0.00      0.00      0.08      0.05      0.00     99.87
08:04:37 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:04:38 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:04:39 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:04:40 AM     all      0.00      0.00      0.05      0.00      0.00     99.95
08:04:41 AM     all      0.03      0.00      0.03      0.05      0.00     99.90
08:04:42 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:04:43 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:04:44 AM     all      0.00      0.00      0.15      0.00      0.00     99.85
08:04:45 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:04:46 AM     all      0.00      0.00      0.08      0.08      0.00     99.85
08:04:47 AM     all      0.03      0.00      0.13      0.00      0.00     99.85
08:04:48 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:04:49 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:04:50 AM     all      0.00      0.00      0.03      0.00      0.00     99.97
08:04:51 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:04:52 AM     all      0.03      0.00      0.08      0.05      0.00     99.85
08:04:53 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:04:54 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:04:55 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:04:56 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:04:57 AM     all      0.00      0.00      0.13      0.05      0.00     99.82
08:04:58 AM     all      0.00      0.00      0.05      0.00      0.00     99.95
08:04:59 AM     all      0.00      0.00      0.10      0.00      0.00     99.90
08:05:00 AM     all      0.03      0.00      0.13      0.00      0.00     99.85
08:05:01 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:05:02 AM     all      0.00      0.00      0.13      0.08      0.00     99.80
08:05:03 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:05:04 AM     all      0.03      0.00      0.10      0.00      0.00     99.87
08:05:05 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:05:06 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:05:07 AM     all      0.03      0.00      0.10      0.08      0.00     99.80
08:05:08 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:05:09 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
08:05:10 AM     all      0.00      0.00      0.05      0.00      0.00     99.95
08:05:11 AM     all      0.00      0.00      0.13      0.00      0.00     99.87
08:05:12 AM     all      0.00      0.00      0.08      0.00      0.00     99.92
