Linux 4.6.0-htbnomark (node-0.timely3.networklatency-pg0.wisc.cloudlab.us) 	03/25/2017 	_x86_64_	(32 CPU)

10:58:44 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
10:58:45 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:58:46 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:58:47 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
10:58:48 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:58:49 PM     all      0.03      0.00      0.03      0.06      0.00     99.87
10:58:50 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:58:51 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:58:52 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:58:53 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:58:54 PM     all      0.00      0.00      0.09      0.09      0.00     99.81
10:58:55 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:58:56 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:58:57 PM     all      0.03      0.00      0.06      0.00      0.00     99.91
10:58:58 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:58:59 PM     all      0.00      0.00      0.06      0.06      0.00     99.87
10:59:00 PM     all      0.00      0.00      0.09      0.00      0.00     99.91
10:59:01 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:59:02 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:59:03 PM     all      0.00      0.00      0.03      0.00      0.00     99.97
10:59:04 PM     all      0.00      0.00      0.03      0.09      0.00     99.87
10:59:05 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:59:06 PM     all      0.03      0.00      0.03      0.00      0.00     99.94
10:59:07 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:59:08 PM     all      0.03      0.00      0.19      0.00      0.00     99.78
10:59:09 PM     all      0.03      0.00      0.19      0.09      0.00     99.69
10:59:10 PM     all      0.03      0.00      0.16      0.00      0.00     99.81
10:59:11 PM     all      0.03      0.00      0.22      0.00      0.00     99.75
10:59:12 PM     all      0.00      0.00      0.25      0.00      0.00     99.75
10:59:13 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:59:14 PM     all      0.03      0.00      0.06      0.09      0.00     99.81
10:59:15 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:59:16 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:59:17 PM     all      0.00      0.00      0.13      0.00      0.00     99.87
10:59:18 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:59:19 PM     all      0.00      0.00      0.16      0.22      0.00     99.62
10:59:20 PM     all      0.06      0.00      0.19      0.00      0.00     99.75
10:59:21 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:59:22 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:59:23 PM     all      0.00      0.00      0.00      0.00      0.00    100.00
10:59:24 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:59:25 PM     all      0.00      0.00      0.06      0.06      0.00     99.87
10:59:26 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
10:59:27 PM     all      0.03      0.00      0.16      0.00      0.00     99.81
10:59:28 PM     all      0.03      0.00      0.19      0.00      0.00     99.78
10:59:29 PM     all      0.03      0.00      0.13      0.00      0.00     99.84
10:59:30 PM     all      0.00      0.00      0.09      0.09      0.00     99.81
10:59:31 PM     all      0.00      0.00      0.06      0.00      0.00     99.94
